date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Book,"Verslag van den toestand der gemeente Semarang over 1918\, Supplement",,2015-12-09T09:02:28.885Z,,,"{""pid"":""uuid:04f19e82-968c-420f-ba55-658aff6e8dd4""\,""type"":""Book""\,""label"":""Verslag van den toestand der gemeente Semarang over 1918\, Supplement""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""date issued"":1919\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, KITLV Collection""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""M30N""\,""title"":""Verslag van den toestand der gemeente Semarang over 1918\, Supplement""}\,""items"":null}",,uuid:04f19e82-968c-420f-ba55-658aff6e8dd4,,,uuid:04f19e82-968c-420f-ba55-658aff6e8dd4,"Verslag van den toestand der gemeente Semarang over 1918, Supplement",collection:koloniaal_erfgoed,,1754743883616485376,,2015-03-09T07:46:05.097Z,,
"",Book,Gids voor den metselaar,,2015-12-09T09:28:22.574Z,,,"{""pid"":""uuid:8224523c-26c9-48dd-91cb-f08691566a58""\,""type"":""Book""\,""label"":""Gids voor den metselaar""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""abstract"":""Geïllustreerde zelfstudie over het metselvak.""\,""aut"":""Vliegenthart\, J.""\,""date issued"":1924\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Kantoor voor de Volkslectuur\, Weltevreden""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""N-91-6116""\,""title"":""Gids voor den metselaar""}\,""items"":null}",,uuid:8224523c-26c9-48dd-91cb-f08691566a58,,,uuid:8224523c-26c9-48dd-91cb-f08691566a58,Gids voor den metselaar,collection:koloniaal_erfgoed,,1754744027112013824,,2014-07-08T08:52:43.816Z,,
"",Book,Verslag van den toestand der stadsgemeente Soerabaja over 1934: Deel 1 Algemeen verslag,,2015-12-09T09:10:25.698Z,,,"{""pid"":""uuid:f643c13a-c87d-413f-be02-868c8bec5920""\,""type"":""Book""\,""label"":""Verslag van den toestand der stadsgemeente Soerabaja over 1934: Deel 1 Algemeen verslag""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""date issued"":1935\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, KITLV Collection""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""M497""\,""title"":""Verslag van den toestand der stadsgemeente Soerabaja over 1934: Deel 1 Algemeen verslag""}\,""items"":null}",,uuid:f643c13a-c87d-413f-be02-868c8bec5920,,,uuid:f643c13a-c87d-413f-be02-868c8bec5920,Verslag van den toestand der stadsgemeente Soerabaja over 1934: Deel 1 Algemeen verslag,collection:koloniaal_erfgoed,,1754743985912414208,,2015-04-09T10:08:39.869Z,,
"",Book,Verslag betreffende de toepassing van het wadoekstelsel over 1918 en 1919,,2015-02-16T13:56:48.298Z,,,"{""pid"":""uuid:ed0966ae-fd01-4aac-b775-302e5537fb4a""\,""type"":""Book""\,""label"":""Verslag betreffende de toepassing van het wadoekstelsel over 1918 en 1919""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""aut"":""Cramer\, Ch.G.""\,""date issued"":1921\,""language"":""dut""\,""physical location"":""TU Delft Library""\,""publisher"":""G. Kolff & Co.\, Weltevreden""\,""rights"":""(c) Cramer\, Ch.G.""\,""shelf"":7428022\,""title"":""Verslag betreffende de toepassing van het wadoekstelsel over 1918 en 1919""}\,""items"":null}",,uuid:ed0966ae-fd01-4aac-b775-302e5537fb4a,,,uuid:ed0966ae-fd01-4aac-b775-302e5537fb4a,Verslag betreffende de toepassing van het wadoekstelsel over 1918 en 1919,collection:koloniaal_erfgoed,,1754744105482584064,,2015-02-16T09:04:14.424Z,,
"",Book,"Vijde Afdeeling: Kultures,Handleiding voor bouwkundigen en industriëlen in Nederlandsch Oost-Indië",,2015-12-09T09:28:00.003Z,,,"{""pid"":""uuid:1c4f252e-ca24-40f5-9f90-07e7084f1e3f""\,""type"":""Book""\,""label"":""Handleiding voor bouwkundigen en industriëlen in Nederlandsch Oost-Indië""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""aut"":[""Lakerveld\, van""\,""Brocx""]\,""date issued"":1866\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""De Gebroeders van Cleef\, 's Gravenhage""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""P-73-820""\,""subTitle"":""Vijde Afdeeling: Kultures""\,""title"":""Handleiding voor bouwkundigen en industriëlen in Nederlandsch Oost-Indië""}\,""items"":null}",,uuid:1c4f252e-ca24-40f5-9f90-07e7084f1e3f,,,uuid:1c4f252e-ca24-40f5-9f90-07e7084f1e3f,Handleiding voor bouwkundigen en industriëlen in Nederlandsch Oost-Indië,collection:koloniaal_erfgoed,,1754743844624138240,,2014-07-01T11:52:47.920Z,,
"",Book,Enquête in zake het bungalow-plan op de Poentjak-Pas,,2015-12-09T09:18:32.285Z,,,"{""pid"":""uuid:719c17ac-ebd4-4472-bd4c-f7bcaf63adc6""\,""type"":""Book""\,""label"":""Enquête in zake het bungalow-plan op de Poentjak-Pas""\,""datastream-ID"":[""TN""\,""PDF""]\,""meta"":{""aut"":[""Lonkhuyzen\, G.J. van""\,""Mooi\, W.D.""\,""Dam\, G.J.W. van""]\,""date issued"":1938\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Vereeniging van Scheepswerktuigkundigen in Nederlandsch-Indië""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""Br-G-91-98""\,""title"":""Enquête in zake het bungalow-plan op de Poentjak-Pas""}\,""items"":null}",,uuid:719c17ac-ebd4-4472-bd4c-f7bcaf63adc6,,,uuid:719c17ac-ebd4-4472-bd4c-f7bcaf63adc6,Enquête in zake het bungalow-plan op de Poentjak-Pas,collection:koloniaal_erfgoed,,1754744015006203904,,2014-04-29T12:51:22.204Z,,
"",Book,"Gedenkboek\, samengesteld ter gelegenheid van het vijf-en-twintig-jarig bestaan der semarang-joana stoomtram-maatschappij,De tramwegen op java",,2014-09-10T07:59:11.874Z,,,"{""pid"":""uuid:adf59b65-cd48-40af-b22f-0391a95fe427""\,""type"":""Book""\,""label"":""De tramwegen op java""\,""datastream-ID"":""TN""\,""meta"":{""date issued"":1907\,""language"":""dut""\,""physical location"":""TU Delft Library""\,""shelf"":""CB10111247""\,""subTitle"":""Gedenkboek\, samengesteld ter gelegenheid van het vijf-en-twintig-jarig bestaan der semarang-joana stoomtram-maatschappij""\,""title"":""De tramwegen op java""}\,""items"":null}",,uuid:adf59b65-cd48-40af-b22f-0391a95fe427,,,uuid:adf59b65-cd48-40af-b22f-0391a95fe427,De tramwegen op java,collection:koloniaal_erfgoed,,1754744060031008768,,2014-06-19T12:40:35.637Z,,
"",Book,De wegverkeersordonnantie,,2015-12-09T09:19:03.655Z,,,"{""pid"":""uuid:35a3b373-20fa-4e57-87f9-f873c7237d0a""\,""type"":""Book""\,""label"":""De wegverkeersordonnantie""\,""datastream-ID"":[""TN""\,""PDF""]\,""meta"":{""aut"":[""Ven\, Dr.Ir. L.J. de""\,""Sandbergen\, Mr. Dr. F.J.W.H.""]\,""date issued"":1933\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Bureau voor Administratiefrechtelijke Publicatiën\, Batavia-Centrum""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""P 98-382""\,""title"":""De wegverkeersordonnantie""}\,""items"":null}",,uuid:35a3b373-20fa-4e57-87f9-f873c7237d0a,,,uuid:35a3b373-20fa-4e57-87f9-f873c7237d0a,De wegverkeersordonnantie,collection:koloniaal_erfgoed,,1754743877849317376,,2014-06-17T11:07:23.826Z,,
"",Book,"Verslag van den toestand der gemeente Semarang over 1925\, supplement",,2015-12-09T08:57:09.452Z,,,"{""pid"":""uuid:242378fb-0bb5-43ad-9970-ccd9374ddf9f""\,""type"":""Book""\,""label"":""Verslag van den toestand der gemeente Semarang over 1925\, supplement""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""date issued"":1926\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, KITLV Collection""\,""publisher"":""Misset\, Semarang""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""M30N""\,""title"":""Verslag van den toestand der gemeente Semarang over 1925\, supplement""}\,""items"":null}",,uuid:242378fb-0bb5-43ad-9970-ccd9374ddf9f,,,uuid:242378fb-0bb5-43ad-9970-ccd9374ddf9f,"Verslag van den toestand der gemeente Semarang over 1925, supplement",collection:koloniaal_erfgoed,,1754743971773415424,,2015-03-17T09:24:34.699Z,,
"",Book,Welke maatregelen moeten genomen worden ter verbetering van de bestaande slechte kampongs?,,2015-12-09T09:47:06.208Z,,,"{""pid"":""uuid:a9b73ab3-78c2-4724-b7a3-a61c517427d0""\,""type"":""Book""\,""label"":""Welke maatregelen moeten genomen worden ter verbetering van de bestaande slechte kampongs?""\,""datastream-ID"":[""TN""\,""PDF""]\,""meta"":{""abstract"":""Volkshuisvestings-congres 1925 Sociaal-Technische Vereeniging. Auteur Abdoel Rachman was adjunct inspecteur Bouw- en Woningtoezicht\, Gemeente Batavia.""\,""aut"":""Rachman\, A.""\,""date issued"":1925\,""language"":""dut""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Sociaal-Technische Vereeniging""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""Br-N-02-57""\,""title"":""Welke maatregelen moeten genomen worden ter verbetering van de bestaande slechte kampongs?""}\,""items"":null}",,uuid:a9b73ab3-78c2-4724-b7a3-a61c517427d0,,,uuid:a9b73ab3-78c2-4724-b7a3-a61c517427d0,Welke maatregelen moeten genomen worden ter verbetering van de bestaande slechte kampongs?,collection:koloniaal_erfgoed,,1754744452311678976,,2014-05-08T10:37:02.170Z,,
