date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
1930,Building,,apotheken,2014-08-18T12:10:02.118Z,,,"{""pid"":""bt:357""\,""type"":""Building""\,""label"":""Rathkamp & Co Apotheek Soerabaja""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900026515""\,""$"":""apotheken""}\,""date completed"":1930\,""geo"":{""citySection"":""Darmoboulevard \\/ Tamarindelaan""}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""subTitle"":""Darmo apotheek""\,""title"":""Rathkamp & Co Apotheek Soerabaja""}\,""items"":{""Image"":{""role"":""has subject""\,""pid"":""uuid:3bb4f3f3-17cc-4cb2-ad64-4b4178860af6""\,""label"":""Apotheek Rathkamp & Co op Darmo\, Soerabaja""\,""date"":""ca.""}\,""Organization"":{""role"":""architect of""\,""pid"":""po:24""\,""label"":""Algemeen Ingenieurs- en Architecten Bureau (Jakarta)""}}}",Jakarta,bt:357,"Darmoboulevard / Tamarindelaan,Jakarta,Jakarta",,bt:357,Rathkamp & Co Apotheek Soerabaja,collection:koloniaal_erfgoed,,1754743846323879936,"Darmo apotheek,Rathkamp & Co Apotheek Soerabaja,Algemeen Ingenieurs- en Architecten Bureau (Jakarta),A.I.A.,A.I.A.-bureau\, Jakarta",2014-08-18T12:02:45.432Z,,
1951,Building,,societies' buildings,2014-06-05T09:30:02.113Z,,,"{""pid"":""bt:240""\,""type"":""Building""\,""label"":""Sociëteit Bataafsche Petroleum Maatschappij Balikpapan""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Sociëteit met bioscoop.""\,""concept"":{""pid"":""aat:300007063""\,""$"":""societies' buildings""}\,""date completed"":1951\,""place"":{""pid"":""gn:1650527""\,""$"":""Balikpapan""}\,""subTitle"":[""B.P.M.""\,""Sociëteit Bataafse Petroleum Maatschappij""\,""Bataafsche Petroleum Maatschappij""\,""BPM""]\,""title"":""Sociëteit Bataafsche Petroleum Maatschappij Balikpapan""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:160""\,""label"":""Groenewegen\, J.M.""}}}",Balikpapan,bt:240,Balikpapan,,bt:240,Sociëteit Bataafsche Petroleum Maatschappij Balikpapan,collection:koloniaal_erfgoed,,1754743996838576128,"B.P.M.,Sociëteit Bataafse Petroleum Maatschappij,Bataafsche Petroleum Maatschappij,BPM,Sociëteit Bataafsche Petroleum Maatschappij Balikpapan,Groenewegen\, J.M.",2014-03-14T11:39:52.047Z,,
1949,Building,,societies' buildings,2014-06-05T10:20:02.692Z,,,"{""pid"":""bt:164""\,""type"":""Building""\,""label"":""Sociëteit Bataafsche Petroleum Maatschappij""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300007063""\,""$"":""societies' buildings""}\,""date completed"":1949\,""place"":{""pid"":""gn:1965158""\,""$"":""Tanyung Tambakagung""}\,""subTitle"":[""B.P.M.""\,""Sociëteit Bataafse Petroleum Maatschappij""\,""Klerkensociëteit""\,""BPM""]\,""title"":""Sociëteit Bataafsche Petroleum Maatschappij""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:160""\,""label"":""Groenewegen\, J.M.""}}}",Tanyung Tambakagung,bt:164,Tanyung Tambakagung,,bt:164,Sociëteit Bataafsche Petroleum Maatschappij,collection:koloniaal_erfgoed,,1754743996592160768,"B.P.M.,Sociëteit Bataafse Petroleum Maatschappij,Klerkensociëteit,BPM,Sociëteit Bataafsche Petroleum Maatschappij,Groenewegen\, J.M.",2014-03-10T10:23:50.697Z,,
1938,Building,,pavilions (building divisions),2014-06-03T12:20:02.330Z,,,"{""pid"":""bt:198""\,""type"":""Building""\,""label"":""Paviljoen kinderkliniek Vereniging Jang Seng Ie""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300002660""\,""$"":""pavilions (building divisions)""}\,""date completed"":1938\,""geo"":{""citySection"":[""Jalan Mangga Besar""\,""Prinsenlaan""]}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""title"":""Paviljoen kinderkliniek Vereniging Jang Seng Ie""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:190""\,""label"":""Liem\, B.T.""}}}",Jakarta,bt:198,"Jalan Mangga Besar,Prinsenlaan,Jakarta,Jakarta",,bt:198,Paviljoen kinderkliniek Vereniging Jang Seng Ie,collection:koloniaal_erfgoed,,1754743996684435456,"Paviljoen kinderkliniek Vereniging Jang Seng Ie,Liem\, B.T.,Liem Bwan Tjie",2014-03-12T14:34:10.113Z,,
1930,Building,,"religious buildings,churches",2014-06-04T14:00:03.147Z,,,"{""pid"":""bt:50""\,""type"":""Building""\,""label"":""Chinese rooms-katholieke kerk Padang""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300007391""\,""$"":""religious buildings""}\,{""pid"":""aat:300007466""\,""$"":""churches""}]\,""date completed"":1930\,""place"":{""pid"":""gn:1633419""\,""$"":""Padang""}\,""subTitle"":[""RK""\,""Chinese r.-k.""\,""R.K.""]\,""title"":""Chinese rooms-katholieke kerk Padang""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:160""\,""label"":""Groenewegen\, J.M.""}}}",Padang,bt:50,Padang,,bt:50,Chinese rooms-katholieke kerk Padang,collection:koloniaal_erfgoed,,1754743812035444736,"RK,Chinese r.-k.,R.K.,Chinese rooms-katholieke kerk Padang,Groenewegen\, J.M.",2014-02-17T12:59:25.497Z,,
"",Building,,"houses,official residences",2014-06-10T14:40:02.886Z,,,"{""pid"":""bt:298""\,""type"":""Building""\,""label"":""Woonhuis consul-generaal Groot-Brittannië""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300005433""\,""$"":""houses""}\,{""pid"":""aat:300005630""\,""$"":""official residences""}]\,""geo"":{""citySection"":""Menteng (district)""}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""title"":""Woonhuis consul-generaal Groot-Brittannië""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:122""\,""label"":""Blankenberg\, J.F.L.""}}}",Jakarta,bt:298,"Menteng (district),Jakarta,Jakarta",,bt:298,Woonhuis consul-generaal Groot-Brittannië,collection:koloniaal_erfgoed,,1754743811951558656,"Woonhuis consul-generaal Groot-Brittannië,Blankenberg\, J.F.L.",2014-03-17T15:21:47.202Z,,
1920,Building,,"exhibition buildings,trade shows",2014-06-05T07:10:02.088Z,"-6.909553\,107.616844",,"{""pid"":""bt:121""\,""type"":""Building""\,""label"":""Jaarbeurs Bandoeng""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300005748""\,""$"":""exhibition buildings""}\,{""pid"":""aat:300054777""\,""$"":""trade shows""}]\,""date completed"":1920\,""geo"":{""citySection"":[""Jalan Ambon""\,""Menadostraat""]}\,""latitude"":-6.909553\,""longitude"":107.616844\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""subTitle"":""Kologdam""\,""title"":""Jaarbeurs Bandoeng""}\,""items"":{""Image"":[{""role"":""has subject""\,""pid"":""uuid:10916c10-4c4a-4c23-b8ed-4c619a1c0b05""\,""label"":""De Theetent op de Jaarbeurs tijdens het Theecongres in 1924\, Bandoeng""\,""date"":1924}\,{""role"":""has subject""\,""pid"":""uuid:1dbfd3aa-7adc-4cc6-8f20-3463624f63d7""\,""label"":""Luchtfoto van de Jaarbeurs in Bandoeng""\,""date"":1922}\,{""role"":""has subject""\,""pid"":""uuid:2974f050-ae6f-4c8e-9c8c-6861f294e2ad""\,""label"":""Straatgezicht voor het hoofdgebouw van de Jaarbeurs in Bandoeng""\,""date"":1927}\,{""role"":""has subject""\,""pid"":""uuid:5dc153e3-43b6-4189-8d2e-3522a9a54dbf""\,""label"":""Gouverneur-generaal Fock verlaat het terrein van de Jaarbeurs van 1924 in Bandung\, Java""\,""date"":1924}\,{""role"":""has subject""\,""pid"":""uuid:8aa7f68a-8668-483e-8c78-ac897baef5dc""\,""label"":""Bezoek van de Sultan van Yogyakarta en Raden Ajoe aan de jaarbeurs te Bandung""\,""date"":""voor\\/before""}]\,""Person"":[{""role"":""architect of""\,""pid"":""po:116""\,""label"":""Bel\, G.J.""}\,{""role"":""architect of""\,""pid"":""po:274""\,""label"":""Wolff Schoemaker\, C.P.""}]}}",Bandung,bt:121,"Jalan Ambon,Menadostraat,Bandung",,bt:121,Jaarbeurs Bandoeng,collection:koloniaal_erfgoed,,1754744225527758848,"Kologdam,Jaarbeurs Bandoeng,Bel\, G.J.,Wolff Schoemaker\, C.P.,Wolff Schoemaker\, Ch. P.,Wolff Schoemaker\, Charles Prosper",2014-03-04T13:51:42.747Z,,
1909,Building,,office buildings,2014-07-17T10:10:03.049Z,"-7.801533\,110.364486",,"{""pid"":""bt:154""\,""type"":""Building""\,""label"":""Kantoorgebouw Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij Yogyakarta (NILLMY)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300007043""\,""$"":""office buildings""}\,""date completed"":1909\,""geo"":{""citySection"":""Jalan Kh. Ahmad Dahlan \\/ Jalan Jendaral Ahmad Yani""}\,""latitude"":-7.801533\,""longitude"":110.364486\,""place"":{""pid"":""gn:1621177""\,""$"":""Yogyakarta""}\,""subTitle"":[""Nederlandsch-Indische Levensverzekering- en Lijfrente Maatschappy Bank BNI""\,""NILLMIJ""\,""Nederlands-Indische Levensverzekering- en Lijfrente Mij.""\,""Nederlandsch-Indische Levensverzekering- en Lijfrente Mij.""\,""Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij""\,""Nederlandsch-Indische Levensverzekering- en Lijfrente Maatschappij""\,""Nederlands-Indische Levensverzekering- en Lijfrente Maatschappy""]\,""title"":""Kantoorgebouw Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij Yogyakarta (NILLMY)""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:156""\,""label"":""Ghijsels\, F.J.L.""}}}",Yogyakarta,bt:154,"Jalan Kh. Ahmad Dahlan / Jalan Jendaral Ahmad Yani,Yogyakarta",,bt:154,Kantoorgebouw Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij Yogyakarta (NILLMY),collection:koloniaal_erfgoed,,1754744225843380224,"Nederlandsch-Indische Levensverzekering- en Lijfrente Maatschappy Bank BNI,NILLMIJ,Nederlands-Indische Levensverzekering- en Lijfrente Mij.,Nederlandsch-Indische Levensverzekering- en Lijfrente Mij.,Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij,Nederlandsch-Indische Levensverzekering- en Lijfrente Maatschappij,Nederlands-Indische Levensverzekering- en Lijfrente Maatschappy,Kantoorgebouw Nederlands-Indische Levensverzekering- en Lijfrente Maatschappij Yogyakarta (NILLMY),Ghijsels\, F.J.L.,Ghijsels\, Frans,Ghijsels\, Frans Johan Louwrens",2014-03-07T15:14:55.863Z,,
1964,Building,,"religious buildings,churches",2014-06-04T14:00:02.812Z,,,"{""pid"":""bt:23""\,""type"":""Building""\,""label"":""Rooms-katholieke kerk Jakarta""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300007391""\,""$"":""religious buildings""}\,{""pid"":""aat:300007466""\,""$"":""churches""}]\,""date completed"":1964\,""geo"":{""citySection"":""Kramatdjati""}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""title"":""Rooms-katholieke kerk Jakarta""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:190""\,""label"":""Liem\, B.T.""}}}",Jakarta,bt:23,"Kramatdjati,Jakarta,Jakarta",,bt:23,Rooms-katholieke kerk Jakarta,collection:koloniaal_erfgoed,,1754744225937752064,"Rooms-katholieke kerk Jakarta,Liem\, B.T.,Liem Bwan Tjie",2014-02-05T14:00:14.721Z,,
1927,Building,,office buildings,2014-06-04T14:00:02.659Z,"-7.236996\,112.739733",,"{""pid"":""bt:136""\,""type"":""Building""\,""label"":""Kantoorgebouw""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300007043""\,""$"":""office buildings""}\,""date completed"":1927\,""geo"":{""citySection"":""Kembang Djepoen""}\,""latitude"":-7.236996\,""longitude"":112.739733\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""title"":""Kantoorgebouw""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:246""\,""label"":""Sprey\, H.Th.""}}}",Surabaya,bt:136,"Kembang Djepoen,Surabaya",,bt:136,Kantoorgebouw,collection:koloniaal_erfgoed,,1754744225620033536,"Kantoorgebouw,Sprey\, H.Th.,Sprey\, Henri Theodoor",2014-03-07T12:53:06.795Z,,
