date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Concept,,viaducts,2014-09-17T10:40:19.100Z,,,"{""pid"":""aat:300007890""\,""type"":""Concept""\,""label"":""viaducts""\,""meta"":{""altLabel"":[{""lang"":""en-US""\,""$"":""viaduct""}\,{""lang"":""nl-NL""\,""$"":""viaduct""}]\,""broader"":{""pid"":""aat:300007877""\,""$"":""bridges by function""}\,""notation"":300007890\,""prefLabel"":[{""lang"":""en-US""\,""$"":""viaducts""}\,{""lang"":""nl-NL""\,""$"":""viaducten""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300007890""}\,""scopeNote"":[{""lang"":""en-US""\,""$"":""Bridges\, usually resting on a series of arches\, carrying roadways or railways over low-lying areas.""}\,{""lang"":""nl-NL""\,""$"":""Bruggen\, meestal rustend op een reeks bogen\, die wegen of spoorwegen over lagergelegen terrein heen voeren.""}]}\,""items"":{""Building"":{""role"":""related concept""\,""pid"":""bt:436""\,""label"":""Viaduct Pasar Besar""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}}}}",,aat:300007890,,,aat:300007890,viaducts,collection:aat,,1754743716868784128,,2014-09-17T10:40:18.943Z,,
"",Concept,,orphanages,2014-03-13T14:00:07.346Z,,,"{""pid"":""aat:300006769""\,""type"":""Concept""\,""label"":""orphanages""\,""meta"":{""altLabel"":[{""lang"":""en-US""\,""$"":""orphanage""}\,{""lang"":""nl-NL""\,""$"":""weeshuis""}\,{""lang"":""en-US""\,""$"":""asylums\, orphan""}\,{""lang"":""en-US""\,""$"":""children's homes""}\,{""lang"":""en-US""\,""$"":""children's hostels""}\,{""lang"":""en-US""\,""$"":""foundling hospitals""}\,{""lang"":""en-US""\,""$"":""homes\, children's""}\,{""lang"":""en-US""\,""$"":""hospitals\, foundling""}\,{""lang"":""en-US""\,""$"":""hostels\, children's""}\,{""lang"":""en-US""\,""$"":""orphan asylums""}]\,""broader"":{""pid"":""aat:300006742""\,""$"":""welfare buildings""}\,""notation"":300006769\,""prefLabel"":[{""lang"":""en-US""\,""$"":""orphanages""}\,{""lang"":""nl-NL""\,""$"":""weeshuizen""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300006769""}}\,""items"":{""Building"":{""role"":""related concept""\,""pid"":""bt:218""\,""label"":""Protestants jongensweeshuis""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""date"":1937}}}",,aat:300006769,,,aat:300006769,orphanages,collection:aat,,1754744126427889664,,2014-03-13T14:00:07.261Z,,
"",Concept,,document genres by form,2014-09-04T11:54:45.520Z,,,"{""pid"":""aat:300137954""\,""type"":""Concept""\,""label"":""document genres by form""\,""meta"":{""broader"":{""pid"":""aat:300026031""\,""$"":""document genres""}\,""notation"":300137954\,""prefLabel"":[{""lang"":""en-us""\,""$"":""document genres by form""}\,{""lang"":""nl-nl""\,""$"":""documenten naar vorm""}]\,""scopeNote"":[{""lang"":""en-us""\,""$"":""Collocates descriptors for documents that emphasize some particular manner in which the textual or visual content of the document has been arranged.""}\,{""lang"":""nl-nl""\,""$"":""Hieronder vallen aanduidingen voor documenten waarbij op een of andere manier de nadruk ligt op de lay-out van documenten.""}]}\,""items"":{""Concept"":{""role"":""is narrower concept""\,""pid"":""aat:300163674""\,""label"":""graphic document genres""}}}",,aat:300137954,,,aat:300137954,document genres by form,collection:aat,,1754744126505484288,,2012-06-26T14:26:13.841Z,,
"",Concept,,hospitals,2014-02-18T15:20:06.527Z,,,"{""pid"":""aat:300006676""\,""type"":""Concept""\,""label"":""hospitals""\,""meta"":{""altLabel"":[{""lang"":""en-US""\,""$"":""hospital""}\,{""lang"":""nl-NL""\,""$"":""ziekenhuis""}\,{""lang"":""nl-NL""\,""$"":""gasthuis (ziekenhuis)""}\,{""lang"":""nl-NL""\,""$"":""gasthuizen (ziekenhuizen)""}\,{""lang"":""en-US""\,""$"":""general hospitals""}\,{""lang"":""en-US""\,""$"":""hospitals\, general""}\,{""lang"":""en-US""\,""$"":""polyclinics""}\,{""lang"":""en-US""\,""$"":""spitals""}\,{""lang"":""en-US""\,""$"":""spittles""}]\,""broader"":{""pid"":""aat:300006653""\,""$"":""gezondheidsvoorzieningen""}\,""notation"":300006676\,""prefLabel"":[{""lang"":""en-US""\,""$"":""hospitals""}\,{""lang"":""nl-NL""\,""$"":""ziekenhuizen""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300006676""}}\,""items"":{""Building"":[{""role"":""related concept""\,""pid"":""bt:201""\,""label"":""Polikliniek ziekenhuis 'Husasa'""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":1960}\,{""role"":""related concept""\,""pid"":""bt:222""\,""label"":""Padang Rumah Sakit Sumber Waras Padang""\,""place"":{""pid"":""gn:1633419""\,""$"":""Padang""}\,""date"":1956}\,{""role"":""related concept""\,""pid"":""bt:223""\,""label"":""Ziekenhuis Sumber Waras Jakarta""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":""1955-""}\,{""role"":""related concept""\,""pid"":""bt:247""\,""label"":""Ziekenhuis St. Elisabeth Semarang""\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}\,""date"":1926}\,{""role"":""related concept""\,""pid"":""bt:248""\,""label"":""Ziekenhuis St. Elizabeth Medan""\,""place"":{""pid"":""gn:1214520""\,""$"":""Medan""}\,""date"":1930}\,{""role"":""related concept""\,""pid"":""bt:323""\,""label"":""Ziekenhuis Darmo""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""date"":1919}\,{""role"":""related concept""\,""pid"":""bt:324""\,""label"":""Ziekenhuis Karang Pandjang""\,""place"":{""pid"":""gn:1651530""\,""$"":""Kota Ambon""}\,""date"":1964}\,{""role"":""related concept""\,""pid"":""bt:421""\,""label"":""Hospitaal Senembah""\,""place"":{""pid"":""gn:1214520""\,""$"":""Medan""}}\,{""role"":""related concept""\,""pid"":""bt:422""\,""label"":""Gemeenteziekenhuis Cirebon""\,""place"":{""pid"":""gn:1646170""\,""$"":""Cirebon""}}\,{""role"":""related concept""\,""pid"":""bt:423""\,""label"":""Instituut Pasteur""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}}\,{""role"":""related concept""\,""pid"":""bt:424""\,""label"":""Quarantainestation""\,""place"":{""pid"":""gn:1214520""\,""$"":""Medan""}}\,{""role"":""related concept""\,""pid"":""bt:425""\,""label"":""BPM ziekenhuis Pladjoe""\,""place"":{""pid"":""gn:1631033""\,""$"":""Plaju""}}\,{""role"":""related concept""\,""pid"":""bt:45""\,""label"":""Centraal Burgerlijke Ziekeninrichting Semarang""\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}}\,{""role"":""related concept""\,""pid"":""bt:48""\,""label"":""Centraal Burgerlijke Ziekeninrichting Soerabaya""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""date"":1938}\,{""role"":""related concept""\,""pid"":""bt:5""\,""label"":""Ziekenhuis Sin Ming Hui administratiegebouw""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":1954}]}}",,aat:300006676,,,aat:300006676,hospitals,collection:aat,,1754744126353440768,,2014-02-18T15:20:06.418Z,,
"",Concept,,pitched roofs,2014-09-04T11:54:11.151Z,,,"{""pid"":""aat:300002125""\,""type"":""Concept""\,""label"":""pitched roofs""\,""meta"":{""altLabel"":[{""lang"":""en-us""\,""$"":""pitched roof""}\,{""lang"":""nl-nl""\,""$"":""schuin dak""}\,{""lang"":""en-us""\,""$"":""roofs\, pitched""}\,{""lang"":""en-us""\,""$"":""roofs\, sloping""}\,{""lang"":""en-us""\,""$"":""sloping roofs""}]\,""broader"":{""pid"":""aat:300002103""\,""$"":""roofs by form: exterior shape""}\,""notation"":300002125\,""prefLabel"":[{""lang"":""en-us""\,""$"":""pitched roofs""}\,{""lang"":""nl-nl""\,""$"":""schuine daken""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300002125""}\,""scopeNote"":[{""lang"":""en-us""\,""$"":""Designates roofs with one or more surfaces that have a pitch greater than 10 degrees from the horizontal.""}\,{""lang"":""nl-nl""\,""$"":""Aanduiding voor daken waarvan een of meer vlakken een helling hebben van meer dan 10 graden ten opzichte van het horizontale vlak.""}]}\,""items"":{""Concept"":{""role"":""is narrower concept""\,""pid"":""aat:300069904""\,""label"":""curb roofs""}}}",,aat:300002125,,,aat:300002125,pitched roofs,collection:aat,,1754744126233903104,,2012-09-12T14:33:32.689Z,,
"",Concept,,designers,2014-09-04T11:54:34.155Z,,,"{""pid"":""aat:300025190""\,""type"":""Concept""\,""label"":""designers""\,""meta"":{""altLabel"":[{""lang"":""en-us""\,""$"":""designer""}\,{""lang"":""en-us""\,""$"":""designer's""}\,{""lang"":""en-us""\,""$"":""designers'""}\,{""lang"":""nl-nl""\,""$"":""ontwerper""}]\,""broader"":{""pid"":""aat:300025101""\,""$"":""people in the visual arts""}\,""notation"":300025190\,""prefLabel"":[{""lang"":""en-us""\,""$"":""designers""}\,{""lang"":""nl-nl""\,""$"":""ontwerpers""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300025190""}}\,""items"":{""Concept"":[{""role"":""is narrower concept""\,""pid"":""aat:300025205""\,""label"":""interior designers""}\,{""role"":""is narrower concept""\,""pid"":""aat:300163428""\,""label"":""costume designers""}]}}",,aat:300025190,,,aat:300025190,designers,collection:aat,,1754743996487303168,,2013-06-21T09:40:07.379Z,,
"",Concept,,trumpeters,2014-09-04T11:54:50.201Z,,,"{""pid"":""aat:300235064""\,""type"":""Concept""\,""label"":""trumpeters""\,""meta"":{""altLabel"":[{""lang"":""en-us""\,""$"":""trumpeter""}\,{""lang"":""en-us""\,""$"":""trumpeter's""}\,{""lang"":""en-us""\,""$"":""trumpeters'""}\,{""lang"":""nl-nl""\,""$"":""trompettist""}\,{""lang"":""en-us""\,""$"":""players\, trumpet""}\,{""lang"":""nl-nl""\,""$"":""trompetter""}\,{""lang"":""nl-nl""\,""$"":""trompetters""}\,{""lang"":""en-us""\,""$"":""trumpet players""}]\,""broader"":{""pid"":""aat:300234984""\,""$"":""instrumentalists: wind instruments""}\,""notation"":300235064\,""prefLabel"":[{""lang"":""en-us""\,""$"":""trumpeters""}\,{""lang"":""nl-nl""\,""$"":""trompettisten""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300235064""}\,""scopeNote"":[{""lang"":""en-us""\,""$"":""Those who play the trumpet\, including those who use it to sound signals.""}\,{""lang"":""nl-nl""\,""$"":""Zij die de trompet bespelen\, ook personen die dit instrument gebruiken om signalen te blazen.""}]}\,""items"":null}",,aat:300235064,,,aat:300235064,trumpeters,collection:aat,,1754744348804644864,,2013-06-20T13:56:51.073Z,,
"",Concept,,houses by form,2014-02-20T14:50:06.809Z,,,"{""pid"":""aat:300122205""\,""type"":""Concept""\,""label"":""houses by form""\,""meta"":{""altLabel"":{""lang"":""nl-NL""\,""$"":""woonhuis naar vorm""}\,""broader"":{""pid"":""aat:300005433""\,""$"":""houses""}\,""notation"":300122205\,""prefLabel"":[{""lang"":""en-US""\,""$"":""houses by form""}\,{""lang"":""nl-NL""\,""$"":""woonhuizen naar vorm""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300122205""}}\,""items"":{""Concept"":{""role"":""is narrower concept""\,""pid"":""aat:300005495""\,""label"":""bungalows""}}}",,aat:300122205,,,aat:300122205,houses by form,collection:aat,,1754744348741730304,,2014-02-20T14:50:06.702Z,,
"",Concept,,industrial buildings,2014-02-24T14:50:05.064Z,,,"{""pid"":""aat:300006231""\,""type"":""Concept""\,""label"":""industrial buildings""\,""meta"":{""altLabel"":[{""lang"":""en-US""\,""$"":""industrial building""}\,{""lang"":""nl-NL""\,""$"":""industrieel gebouw""}\,{""lang"":""en-US""\,""$"":""architecture\, industrial""}\,{""lang"":""en-US""\,""$"":""building\, industrial""}\,{""lang"":""en-US""\,""$"":""buildings\, industrial""}\,{""lang"":""en-US""\,""$"":""facilities\, industrial""}\,{""lang"":""en-US""\,""$"":""industrial architecture""}\,{""lang"":""en-US""\,""$"":""industrial facilities""}]\,""broader"":{""pid"":""aat:300121918""\,""$"":""industrial structures""}\,""notation"":300006231\,""prefLabel"":[{""lang"":""en-US""\,""$"":""industrial buildings""}\,{""lang"":""nl-NL""\,""$"":""industriële gebouwen""}]\,""related"":{""pid"":""aat:300121918""\,""$"":""industrial structures""}\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300006231""}\,""scopeNote"":[{""lang"":""en-US""\,""$"":""Refers to buildings or groups of buildings intended to house the machinery and activities associated with modern industry and machine manufacture that arose after the Industrial Revolution\, beginning in the mid-19th century.""}\,{""lang"":""nl-NL""\,""$"":""Verwijst naar gebouwen of groepen gebouwen die bedoeld zijn als behuizing van machines en activiteiten welke ontstonden na de Industriële Revolutie\, vanaf het midden van de 19de eeuw.""}]}\,""items"":{""Building"":{""role"":""related concept""\,""pid"":""bt:83""\,""label"":""Bedrijfsgebouw Bataafsche Petroleum Maatschappij""\,""place"":{""pid"":""gn:1633070""\,""$"":""Palembang""}\,""date"":1941}\,""Concept"":[{""role"":""is narrower concept""\,""pid"":""aat:300006232""\,""label"":""factories (structures)""}\,{""role"":""is narrower concept""\,""pid"":""aat:300006389""\,""label"":""accessory industrial buildings""}\,{""role"":""related""\,""pid"":""aat:300121918""\,""label"":""industrial structures""}]}}",,aat:300006231,,,aat:300006231,industrial buildings,collection:aat,,1754744557482803200,,2014-02-24T14:50:04.939Z,,
"",Concept,,police stations,2015-01-26T16:10:06.931Z,,,"{""pid"":""aat:300006049""\,""type"":""Concept""\,""label"":""police stations""\,""meta"":{""altLabel"":[{""lang"":""en-US""\,""$"":""police station""}\,{""lang"":""nl-NL""\,""$"":""politiebureau""}\,{""lang"":""nl-NL""\,""$"":""politiekantoor""}\,{""lang"":""nl-NL""\,""$"":""politiekantoren""}\,{""lang"":""en-US""\,""$"":""station\, police""}\,{""lang"":""en-US""\,""$"":""stations\, police""}]\,""broader"":{""pid"":""aat:300006043""\,""$"":""public safety buildings""}\,""notation"":300006049\,""prefLabel"":[{""lang"":""en-US""\,""$"":""police stations""}\,{""lang"":""nl-NL""\,""$"":""politiebureaus""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300006049""}\,""scopeNote"":[{""lang"":""en-US""\,""$"":""Headquarters for the police of a particular district\, from which police officers are dispatched and to which persons under arrest are brought.""}\,{""lang"":""nl-NL""\,""$"":""Hoofdkwartieren voor de politie in een bepaald district\, vanwaar politieagenten worden uitgezonden en waar arrestanten naartoe worden gebracht.""}]}\,""items"":{""Building"":{""role"":""related concept""\,""pid"":""bt:542""\,""label"":""Politiekazerne Medan""\,""place"":{""pid"":""gn:1214520""\,""$"":""Medan""}}}}",,aat:300006049,,,aat:300006049,police stations,collection:aat,,1754744312488263680,,2015-01-26T16:10:06.810Z,,
"",Concept,,schools by level of education,2014-09-04T11:54:21.122Z,,,"{""pid"":""aat:300006585""\,""type"":""Concept""\,""label"":""schools by level of education""\,""meta"":{""altLabel"":{""lang"":""nl-nl""\,""$"":""school naar onderwijsniveau""}\,""broader"":{""pid"":""aat:300006495""\,""$"":""schools (buildings)""}\,""notation"":300006585\,""prefLabel"":[{""lang"":""en-us""\,""$"":""schools by level of education""}\,{""lang"":""nl-nl""\,""$"":""scholen naar onderwijsniveau""}]\,""sameAs"":{""url"":""http:\\/\\/service.aat-ned.nl\\/skos\\/300006585""}}\,""items"":{""Concept"":[{""role"":""is narrower concept""\,""pid"":""aat:300006597""\,""label"":""elementary schools""}\,{""role"":""is narrower concept""\,""pid"":""aat:300006601""\,""label"":""middle schools""}\,{""role"":""is narrower concept""\,""pid"":""aat:300006603""\,""label"":""high schools""}\,{""role"":""is narrower concept""\,""pid"":""aat:300122164""\,""label"":""universities and colleges""}]}}",,aat:300006585,,,aat:300006585,schools by level of education,collection:aat,,1754744647399243776,,2013-06-21T11:40:06.982Z,,
