date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",JournalIssue,"Locale Belangen (year 1929\, volume 016\, issue 023)",,2014-08-18T09:16:09.656Z,,,"{""pid"":""uuid:5caf5efe-7904-4fce-80b5-6f71c86a0e6d""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1929\, volume 016\, issue 023)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""023""\,""language"":""dut""\,""pages"":""1049-1094""\,""title"":""Locale Belangen (year 1929\, volume 016\, issue 023)""\,""volume"":""016""}\,""items"":null}",,uuid:5caf5efe-7904-4fce-80b5-6f71c86a0e6d,,,uuid:5caf5efe-7904-4fce-80b5-6f71c86a0e6d,"Locale Belangen (year 1929, volume 016, issue 023)",collection:koloniaal_erfgoed,,1754743698349883392,,2014-08-18T08:34:14.614Z,,
"",JournalIssue,"Locale Techniek (year 1937\, volume 006\, issue 005)",,2014-09-08T09:08:07.260Z,,,"{""pid"":""uuid:caab05a0-6493-4426-95a4-53e1c4831ff1""\,""type"":""JournalIssue""\,""label"":""Locale Techniek (year 1937\, volume 006\, issue 005)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""abstract"":""I.B.T. Locale Techniek""\,""isPartOf"":{""pid"":""jn:11""\,""$"":""Locale Techniek""}\,""issue"":""005""\,""language"":""dut""\,""pages"":""123-146""\,""title"":""Locale Techniek (year 1937\, volume 006\, issue 005)""\,""volume"":""006""}\,""items"":null}",,uuid:caab05a0-6493-4426-95a4-53e1c4831ff1,,,uuid:caab05a0-6493-4426-95a4-53e1c4831ff1,"Locale Techniek (year 1937, volume 006, issue 005)",collection:koloniaal_erfgoed,,1754743705873416192,,2014-09-08T08:47:25.092Z,,
"",JournalIssue,"Locale Belangen (year 1915\, volume 003\, issue 012)",,2014-09-10T12:35:46.915Z,,,"{""pid"":""uuid:88158948-5380-45ef-b62e-5932a101ac94""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1915\, volume 003\, issue 012)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""012""\,""language"":""dut""\,""pages"":""325-358""\,""title"":""Locale Belangen (year 1915\, volume 003\, issue 012)""\,""volume"":""003""}\,""items"":null}",,uuid:88158948-5380-45ef-b62e-5932a101ac94,,,uuid:88158948-5380-45ef-b62e-5932a101ac94,"Locale Belangen (year 1915, volume 003, issue 012)",collection:koloniaal_erfgoed,,1754744141436157952,,2014-07-15T12:42:22.059Z,,
"",JournalIssue,"Locale Belangen (year 1933\, volume 020\, issue 009)",,2014-08-25T09:10:53.834Z,,,"{""pid"":""uuid:be7fc910-dc1d-495e-81d2-3eb481e96609""\,""type"":""JournalIssue""\,""label"":""Locale Belangen (year 1933\, volume 020\, issue 009)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:8""\,""$"":""Locale Belangen""}\,""issue"":""009""\,""language"":""dut""\,""pages"":""141-158""\,""title"":""Locale Belangen (year 1933\, volume 020\, issue 009)""\,""volume"":""020""}\,""items"":null}",,uuid:be7fc910-dc1d-495e-81d2-3eb481e96609,,,uuid:be7fc910-dc1d-495e-81d2-3eb481e96609,"Locale Belangen (year 1933, volume 020, issue 009)",collection:koloniaal_erfgoed,,1754744161315061760,,2014-08-25T08:55:54.801Z,,
"",JournalIssue,"Indisch bouwkundig tijdschrift (year 1899\, volume 002\, issue 002)",,2014-07-25T08:56:29.348Z,,,"{""pid"":""uuid:1696282f-97a9-4622-a2e1-8448a59893bc""\,""type"":""JournalIssue""\,""label"":""Indisch bouwkundig tijdschrift (year 1899\, volume 002\, issue 002)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:9""\,""$"":""Indisch bouwkundig tijdschrift""}\,""issue"":2\,""language"":""dut""\,""pages"":""1-34""\,""title"":""Indisch bouwkundig tijdschrift (year 1899\, volume 002\, issue 002)""\,""volume"":2}\,""items"":null}",,uuid:1696282f-97a9-4622-a2e1-8448a59893bc,,,uuid:1696282f-97a9-4622-a2e1-8448a59893bc,"Indisch bouwkundig tijdschrift (year 1899, volume 002, issue 002)",collection:koloniaal_erfgoed,,1754743902351392768,,2014-07-25T08:21:13.306Z,,
"",JournalIssue,"Indisch bouwkundig tijdschrift (year 1924\, volume 027\, issue 003)",,2014-10-28T14:50:58.791Z,,,"{""pid"":""uuid:f0dc3421-050b-4ff4-88a9-876096febe03""\,""type"":""JournalIssue""\,""label"":""Indisch bouwkundig tijdschrift (year 1924\, volume 027\, issue 003)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:9""\,""$"":""Indisch bouwkundig tijdschrift""}\,""issue"":3\,""language"":""dut""\,""pages"":""1-16""\,""title"":""Indisch bouwkundig tijdschrift (year 1924\, volume 027\, issue 003)""\,""volume"":27}\,""items"":null}",,uuid:f0dc3421-050b-4ff4-88a9-876096febe03,,,uuid:f0dc3421-050b-4ff4-88a9-876096febe03,"Indisch bouwkundig tijdschrift (year 1924, volume 027, issue 003)",collection:koloniaal_erfgoed,,1754744079249309696,,2014-10-28T14:32:08.691Z,,
"",JournalIssue,"Indisch bouwkundig tijdschrift (year 1931\, volume 034\, issue 003)",,2014-09-10T10:08:27.389Z,,,"{""pid"":""uuid:0d0e9da4-569c-44ed-9705-6b68aab63147""\,""type"":""JournalIssue""\,""label"":""Indisch bouwkundig tijdschrift (year 1931\, volume 034\, issue 003)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:9""\,""$"":""Indisch bouwkundig tijdschrift""}\,""issue"":""003""\,""language"":""dut""\,""pages"":""17-24""\,""title"":""Indisch bouwkundig tijdschrift (year 1931\, volume 034\, issue 003)""\,""volume"":""034""}\,""items"":null}",,uuid:0d0e9da4-569c-44ed-9705-6b68aab63147,,,uuid:0d0e9da4-569c-44ed-9705-6b68aab63147,"Indisch bouwkundig tijdschrift (year 1931, volume 034, issue 003)",collection:koloniaal_erfgoed,,1754744167945207808,,2014-09-10T10:00:40.941Z,,
"",JournalIssue,"Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1914\, aflevering 002)",,2014-09-10T07:58:44.906Z,,,"{""pid"":""uuid:91300fa8-6268-411a-8f67-8a5215abafb6""\,""type"":""JournalIssue""\,""label"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1914\, aflevering 002)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""abstract"":""Nieuwe fundeeringsmethode tegen grondverzet in de tropen door Ch. P. Schoemaker Artesische boringen in het bekken van Batavia door L. Houwink m.i. De recente ontwikkeling van het locomotiefpark der W\\/L door de Graaff""\,""isPartOf"":{""pid"":""jn:3""\,""$"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indië""}\,""issue"":2\,""language"":""dut""\,""pages"":""1-67""\,""title"":""Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie\, (1914\, aflevering 002)""}\,""items"":null}",,uuid:91300fa8-6268-411a-8f67-8a5215abafb6,,,uuid:91300fa8-6268-411a-8f67-8a5215abafb6,"Tijdschrift van het Koninklijk Instituut van Ingenieurs. Afdeeling Nederlandsch-Indie, (1914, aflevering 002)",collection:koloniaal_erfgoed,,1754743710861492224,,2014-06-24T13:09:57.548Z,,
"",JournalIssue,Inzichten over vrachtauto-exploitatie in Ned.-Indië,,2014-09-10T07:59:15.255Z,,,"{""pid"":""uuid:b14acecf-faad-4383-960f-3b9799595bd4""\,""type"":""JournalIssue""\,""label"":""Inzichten over vrachtauto-exploitatie in Ned.-Indië""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""abstract"":""Van K. van der Zee\, directeur van de N.V. Blauwvriesveem: Voorgedragen ter alg. vergadering v\\/d N.I.W.V. op 25 juni 1928""\,""isPartOf"":{""pid"":""jn:7""\,""$"":""Publicatie van de Nederlandsch-Indische Wegenvereeniging""}\,""issue"":68\,""language"":""dut""\,""pages"":""1-48""\,""title"":""Inzichten over vrachtauto-exploitatie in Ned.-Indië""}\,""items"":null}",,uuid:b14acecf-faad-4383-960f-3b9799595bd4,,,uuid:b14acecf-faad-4383-960f-3b9799595bd4,Inzichten over vrachtauto-exploitatie in Ned.-Indië,collection:koloniaal_erfgoed,,1754743891508068352,,2014-07-07T09:34:27.709Z,,
"",JournalIssue,"De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 015)",,2015-02-25T08:51:10.557Z,,,"{""pid"":""uuid:1963a5fa-8012-4229-bfb7-3f50566768ef""\,""type"":""JournalIssue""\,""label"":""De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 015)""\,""datastream-ID"":[""PDF""\,""TN""]\,""meta"":{""isPartOf"":{""pid"":""jn:19""\,""$"":""De bouwkundig ambtenaar""}\,""issue"":""015""\,""language"":""dut""\,""pages"":""1-4""\,""title"":""De bouwkundig ambtenaar (year 1933\, bijvoegsel IBT\, issue 015)""}\,""items"":null}",,uuid:1963a5fa-8012-4229-bfb7-3f50566768ef,,,uuid:1963a5fa-8012-4229-bfb7-3f50566768ef,"De bouwkundig ambtenaar (year 1933, bijvoegsel IBT, issue 015)",collection:koloniaal_erfgoed,,1754743953390829568,,2015-02-25T08:45:19.187Z,,
