date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Location,,,2014-09-04T13:45:50.780Z,"52.37487\,4.53409",Zandvoort,"{""pid"":""gn:2744042""\,""type"":""Location""\,""label"":""Zandvoort""\,""meta"":{""alternateName"":[""Landvoort""\,{""lang"":""en""\,""$"":""Zandvoort""}\,{""lang"":""fr""\,""$"":""Zandvoort""}\,{""lang"":""it""\,""$"":""Zandvoort""}\,{""lang"":""nl""\,""$"":""Zandvoort""}]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P.PPL""}\,""latitude"":52.37487\,""longitude"":4.53409\,""name"":""Zandvoort""\,""part of"":[{""pid"":""gn:2744040""\,""$"":""Gemeente Zandvoort""}\,{""pid"":""gn:2744040""\,""$"":""Gemeente Zandvoort""}\,{""pid"":""gn:2749879""\,""$"":""Noord-Holland""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}]\,""population"":16868\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2744042\\/""}}\,""items"":{""Person"":{""role"":""death place""\,""pid"":""po:255""\,""label"":""Tijen\, W. van""\,""place"":{""pid"":""gn:2744171""\,""$"":""Wormerveer""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",,gn:2744042,,,gn:2744042,Zandvoort,collection:geonames,,1754744126562107392,,2014-01-30T11:20:13.821Z,Zandvoort,
"",Location,,,2014-09-04T13:45:58.136Z,"52.41667\,6.5",Overijssel,"{""pid"":""gn:2748838""\,""type"":""Location""\,""label"":""Overijssel""\,""meta"":{""alternateName"":""Provincie Overijssel""\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A.ADM1""}\,""latitude"":52.41667\,""longitude"":6.5\,""name"":""Provincie Overijssel""\,""officialName"":[{""lang"":""fr""\,""$"":""Overijssel""}\,{""lang"":""nl""\,""$"":""Overijssel""}\,""Overijssel""]\,""part of"":[{""pid"":""gn:2750405""\,""$"":""Netherlands""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}]\,""population"":1065667\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2748838\\/""}}\,""items"":{""Location"":[{""role"":""is part of""\,""pid"":""gn:2743476""\,""label"":""Gemeente Zwolle""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2743476""\,""label"":""Gemeente Zwolle""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2743477""\,""label"":""Zwolle""\,""subType"":""seat of a first-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2753104""\,""label"":""Gemeente Kampen""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2753104""\,""label"":""Gemeente Kampen""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2753106""\,""label"":""Kampen""\,""subType"":""populated place""}\,{""role"":""is part of""\,""pid"":""gn:2757370""\,""label"":""Delden""\,""subType"":""populated place""}\,{""role"":""is part of""\,""pid"":""gn:6544289""\,""label"":""Gemeente Hof van Twente""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:6544289""\,""label"":""Gemeente Hof van Twente""\,""subType"":""second-order administrative division""}]}}",,gn:2748838,,,gn:2748838,Overijssel,collection:geonames,,1754744126653333504,,2014-01-29T11:30:09.982Z,"Overijssel,Overijssel,Provincie Overijssel",
"",Location,,,2014-09-04T13:46:10.263Z,"52.11063\,6.11791",Gemeente Brummen,"{""pid"":""gn:2758176""\,""type"":""Location""\,""label"":""Gemeente Brummen""\,""meta"":{""alternateName"":[""Brummen""\,""Gemeente Brummen""]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A.ADM2""}\,""latitude"":52.11063\,""longitude"":6.11791\,""name"":""Gemeente Brummen""\,""part of"":[{""pid"":""gn:2750405""\,""$"":""Netherlands""}\,{""pid"":""gn:2755634""\,""$"":""Gelderland""}\,{""pid"":""gn:2755634""\,""$"":""Gelderland""}]\,""population"":21139\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2758176\\/""}}\,""items"":{""Location"":[{""role"":""is part of""\,""pid"":""gn:2758177""\,""label"":""Brummen""\,""subType"":""populated place""}\,{""role"":""is part of""\,""pid"":""gn:2758177""\,""label"":""Brummen""\,""subType"":""populated place""}]}}",,gn:2758176,,,gn:2758176,Gemeente Brummen,collection:geonames,,1754744126705762304,,2014-01-28T14:00:09.570Z,Gemeente Brummen,
"",Location,,,2014-09-04T13:45:48.278Z,"52.10583\,4.72639",Zwammerdam,"{""pid"":""gn:2743578""\,""type"":""Location""\,""label"":""Zwammerdam""\,""meta"":{""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P.PPL""}\,""latitude"":52.10583\,""longitude"":4.72639\,""name"":""Zwammerdam""\,""part of"":[{""pid"":""gn:2743698""\,""$"":""Zuid-Holland""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}\,{""pid"":""gn:2759874""\,""$"":""Gemeente Alphen aan den Rijn""}\,{""pid"":""gn:2759874""\,""$"":""Gemeente Alphen aan den Rijn""}]\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2743578\\/""}}\,""items"":{""Person"":{""role"":""birth place""\,""pid"":""po:246""\,""label"":""Sprey\, H.Th.""\,""place"":{""pid"":""gn:2743578""\,""$"":""Zwammerdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",,gn:2743578,,,gn:2743578,Zwammerdam,collection:geonames,,1754743811833069568,,2014-01-30T11:10:04.354Z,Zwammerdam,
"",Location,,,2014-09-04T13:46:00.540Z,"51.66667\,5",Noord-Brabant,"{""pid"":""gn:2749990""\,""type"":""Location""\,""label"":""Noord-Brabant""\,""meta"":{""alternateName"":[""Brabant""\,{""lang"":""pt""\,""$"":""Brabante do Norte""}\,{""lang"":""es""\,""$"":""Brabante Septentrional""}\,{""lang"":""it""\,""$"":""Brabante Settentrionale""}\,{""lang"":""fr""\,""$"":""Brabant septentrional""}\,{""lang"":""nl""\,""$"":""noordbrabant""}\,{""lang"":""en""\,""$"":""North Brabant""}\,""North Brabant""\,""Provincie Noord-Brabant""\,{""lang"":""de""\,""$"":""Provinz Nordbrabant""}]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A.ADM1""}\,""latitude"":51.66667\,""longitude"":5\,""name"":""North Brabant""\,""officialName"":[{""lang"":""fr""\,""$"":""Brabant-Septentrional""}\,{""lang"":""nl""\,""$"":""Noord-Brabant""}\,""Noord-Brabant""]\,""part of"":[{""pid"":""gn:2750405""\,""$"":""Netherlands""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}]\,""population"":2331709\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2749990\\/""}}\,""items"":{""Location"":[{""role"":""is part of""\,""pid"":""gn:2758400""\,""label"":""Gemeente Breda""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2758400""\,""label"":""Gemeente Breda""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2758401""\,""label"":""Breda""\,""subType"":""populated place""}\,{""role"":""is part of""\,""pid"":""gn:2758459""\,""label"":""Gemeente Boxtel""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2758459""\,""label"":""Gemeente Boxtel""\,""subType"":""second-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:2758460""\,""label"":""Boxtel""\,""subType"":""populated place""}]}}",,gn:2749990,,,gn:2749990,Noord-Brabant,collection:geonames,,1754744445271539712,,2013-10-23T13:00:06.098Z,"Noord-Brabant,Brabant-Septentrional,Noord-Brabant,North Brabant",
"",Location,,,2014-09-04T13:46:14.611Z,"52.36167\,4.59722",Aerdenhout,"{""pid"":""gn:2759951""\,""type"":""Location""\,""label"":""Aerdenhout""\,""meta"":{""alternateName"":""Aardenhout""\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P.PPL""}\,""latitude"":52.36167\,""longitude"":4.59722\,""name"":""Aerdenhout""\,""part of"":[{""pid"":""gn:2749879""\,""$"":""Noord-Holland""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}\,{""pid"":""gn:2758802""\,""$"":""Gemeente Bloemendaal""}\,{""pid"":""gn:2758802""\,""$"":""Gemeente Bloemendaal""}]\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2759951\\/""}}\,""items"":{""Person"":[{""role"":""death place""\,""pid"":""po:192""\,""label"":""Linde\, C. van de""\,""place"":{""pid"":""gn:2752638""\,""$"":""Kloetinge""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""death place""\,""pid"":""po:242""\,""label"":""Smits\, A.P.""\,""place"":{""pid"":""gn:2755003""\,""$"":""Haarlem""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",,gn:2759951,,,gn:2759951,Aerdenhout,collection:geonames,,1754744445576675328,,2014-01-30T09:30:06.741Z,Aerdenhout,
"",Location,,,2014-09-04T13:45:52.534Z,"52.45182\,4.63211",Gemeente Velsen,"{""pid"":""gn:2745675""\,""type"":""Location""\,""label"":""Gemeente Velsen""\,""meta"":{""alternateName"":""Velzen""\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A.ADM2""}\,""latitude"":52.45182\,""longitude"":4.63211\,""name"":""Gemeente Velsen""\,""part of"":[{""pid"":""gn:2749879""\,""$"":""Noord-Holland""}\,{""pid"":""gn:2749879""\,""$"":""Noord-Holland""}\,{""pid"":""gn:2750405""\,""$"":""Netherlands""}]\,""population"":67281\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/2745675\\/""}\,""shortName"":""Velsen""}\,""items"":{""Location"":[{""role"":""is part of""\,""pid"":""gn:2753376""\,""label"":""IJmuiden""\,""subType"":""populated place""}\,{""role"":""is part of""\,""pid"":""gn:2753376""\,""label"":""IJmuiden""\,""subType"":""populated place""}]}}",,gn:2745675,,,gn:2745675,Gemeente Velsen,collection:geonames,,1754744348881190912,,2014-01-30T11:40:08.146Z,Gemeente Velsen,
"",Location,,,2014-03-10T10:30:04.025Z,"-7.46861\,112.82",Tanyung Tambakagung,"{""pid"":""gn:1965158""\,""type"":""Location""\,""label"":""Tanyung Tambakagung""\,""meta"":{""alternateName"":[""Tanjung Tambakagung""\,""Tanyung Tambakagung""]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#T""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#T.PT""}\,""latitude"":-7.46861\,""longitude"":112.82\,""name"":""Tanyung Tambakagung""\,""part of"":[{""pid"":""gn:1642668""\,""$"":""Jawa Timur""}\,{""pid"":""gn:1642668""\,""$"":""Jawa Timur""}\,{""pid"":""gn:1643084""\,""$"":""Indonesia""}]\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/1965158\\/""}}\,""items"":{""Building"":{""role"":""located in""\,""pid"":""bt:164""\,""label"":""Sociëteit Bataafsche Petroleum Maatschappij""\,""place"":{""pid"":""gn:1965158""\,""$"":""Tanyung Tambakagung""}\,""date"":1949}}}",,gn:1965158,,,gn:1965158,Tanyung Tambakagung,collection:geonames,,1754744647464255488,,2014-03-10T10:30:03.906Z,Tanyung Tambakagung,
"",Location,,,2014-08-22T14:30:10.262Z,"22.56263\,88.36304",Calcutta,"{""pid"":""gn:1275004""\,""type"":""Location""\,""label"":""Calcutta""\,""meta"":{""alternateName"":[{""lang"":""es""\,""$"":""Calcuta""}\,{""lang"":""pt""\,""$"":""Calcutá""}\,{""lang"":""it""\,""$"":""Calcutta""}\,{""lang"":""nl""\,""$"":""Calcutta""}\,""Kalikātā""\,{""lang"":""de""\,""$"":""Kalkutta""}\,{""lang"":""en""\,""$"":""Kolkata""}\,{""lang"":""fr""\,""$"":""Kolkata""}\,""Sealdah""]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#P.PPLA""}\,""latitude"":22.56263\,""longitude"":88.36304\,""name"":""Kolkata""\,""officialName"":[{""lang"":""en""\,""$"":""Calcutta""}\,{""lang"":""fr""\,""$"":""Calcutta""}]\,""part of"":[{""pid"":""gn:1252881""\,""$"":""Bengale-Occidental""}\,{""pid"":""gn:1252881""\,""$"":""Bengale-Occidental""}\,{""pid"":""gn:1269750""\,""$"":""India""}]\,""population"":4631392\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/1275004\\/""}}\,""items"":{""Building"":{""role"":""located in""\,""pid"":""bt:407""\,""label"":""The Lighthouse Theatre""\,""place"":{""pid"":""gn:1275004""\,""$"":""Calcutta""}\,""date"":1938}}}",,gn:1275004,,,gn:1275004,Calcutta,collection:geonames,,1754744678975012864,,2014-08-22T14:30:09.801Z,"Calcutta,Calcutta,Kolkata",
"",Location,,,2014-03-11T11:10:06.527Z,"32\,53",Iran,"{""pid"":""gn:130758""\,""type"":""Location""\,""label"":""Iran""\,""meta"":{""alternateName"":[{""lang"":""en""\,""$"":""Empire of Iran""}\,""Empire of Iran""\,{""lang"":""de""\,""$"":""Iran""}\,{""lang"":""nl""\,""$"":""Iran""}\,""Iran""\,""Īrān""\,{""lang"":""en""\,""$"":""Iran\, Islamic Republic Of""}\,{""lang"":""it""\,""$"":""Iran (Repubblica Islamica)""}\,{""lang"":""pt""\,""$"":""Irão""}\,{""lang"":""en""\,""$"":""Islamic Republic of Iran""}\,""Keshvar-e Shāhanshāhī-ye Īrān""\,{""lang"":""es""\,""$"":""Persia""}\,""Persia""]\,""featureClass"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A""}\,""featureCode"":{""url"":""http:\\/\\/www.geonames.org\\/ontology#A.PCLI""}\,""latitude"":32\,""longitude"":53\,""name"":""Iran""\,""officialName"":[{""lang"":""en""\,""$"":""Iran""}\,{""lang"":""it""\,""$"":""Iran""}\,{""lang"":""de""\,""$"":""Iran (Islamische Republik)""}\,{""lang"":""nl""\,""$"":""Iran (Islamitische Republiek)""}\,{""lang"":""es""\,""$"":""Irán (República Islámica)""}\,{""lang"":""fr""\,""$"":""Iran (République islamique de)""}\,{""lang"":""pt""\,""$"":""República Islâmica do Irã""}]\,""part of"":{""pid"":""gn:6255147""\,""$"":""Asia""}\,""population"":76923300\,""sameAs"":{""url"":""http:\\/\\/sws.geonames.org\\/130758\\/""}\,""shortName"":[{""lang"":""fr""\,""$"":""Iran""}\,{""lang"":""es""\,""$"":""Irán""}]}\,""items"":{""Location"":[{""role"":""is part of""\,""pid"":""gn:127082""\,""label"":""Ostān-e Khūzestān""\,""subType"":""first-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:127082""\,""label"":""Ostān-e Khūzestān""\,""subType"":""first-order administrative division""}\,{""role"":""is part of""\,""pid"":""gn:136""\,""label"":""Kūh-e Khārmār""\,""subType"":""mountain""}]}}",,gn:130758,,,gn:130758,Iran,collection:geonames,,1754744871051067392,,2014-03-11T11:10:06.261Z,Iran,
