date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Map,Pasoeroean,,2015-02-13T13:36:00.723Z,,,"{""pid"":""uuid:fc6e7b2f-94bc-4be3-b3a6-cc11cfe9b385""\,""type"":""Map""\,""label"":""Pasoeroean""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1946\, city map\, coloured\, 50 x 30 cm""\,""cartographics"":{""scale"":""1:5.850""\,""coordinates"":""O 112°54'--O 112°54'\\/Z 007°38'--Z 007°38'""}\,""date created"":1946\,""extent"":""50 x 30 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541299\,""origin place"":""s.l.""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Survey Directorate Head Quarters ALFSEA =American Land Forces\, South East Asia""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""D F 7\,7 KK 164-01-01""\,""subject"":""city maps""\,""subject temporal"":1946\,""title"":""Pasoeroean""}\,""items"":null}",Java,uuid:fc6e7b2f-94bc-4be3-b3a6-cc11cfe9b385,"Asia,Indonesia,Java,,",,uuid:fc6e7b2f-94bc-4be3-b3a6-cc11cfe9b385,Pasoeroean,collection:koloniaal_erfgoed,,1754744202686627840,,2015-02-13T13:35:53.795Z,,
"",Map,Hoofdplaats Cheribon,,2015-02-13T13:34:48.122Z,,,"{""pid"":""uuid:d28cb5b2-f6e0-4fcb-aea1-03006b3f5692""\,""type"":""Map""\,""label"":""Hoofdplaats Cheribon""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1921\, city map\, coloured\, 105 x 84 cm""\,""cartographics"":{""scale"":""1:5.000""\,""coordinates"":""O 108°34'--O 108°34'\\/Z 006°44'--Z 006°44'""}\,""date created"":1921\,""extent"":""105 x 84 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541281\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Topografische inrichting""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 163-04-08""\,""subject"":""city maps""\,""subject temporal"":1921\,""title"":""Hoofdplaats Cheribon""}\,""items"":null}",Java,uuid:d28cb5b2-f6e0-4fcb-aea1-03006b3f5692,"Asia,Indonesia,Java,,",,uuid:d28cb5b2-f6e0-4fcb-aea1-03006b3f5692,Hoofdplaats Cheribon,collection:koloniaal_erfgoed,,1754744202640490496,,2015-02-13T13:34:37.539Z,,
"",Map,"The mountain city of the east,Come to Bandung",,2015-02-13T13:55:48.889Z,,,"{""pid"":""uuid:9b2b9295-1ebf-422e-99be-448378257fdd""\,""type"":""Map""\,""label"":""Come to Bandung""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1937\, Met Nederlandstalige index van belangrijke gebouwen. - Met foto's\, Verso: Engelstalige toeristische informatie\, city map\, 46 x 43 cm""\,""cartographics"":{""scale"":"" 1:25.000""\,""coordinates"":""O 107°37'14\\""--O 107°37'14\\""\\/Z 006°54'46\\""--Z 006°54'46\\""""}\,""date created"":1937\,""extent"":""46 x 43 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541434\,""origin place"":""s.l.""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""s.n.""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 161-05-11""\,""subTitle"":""The mountain city of the east""\,""subject"":""city maps""\,""subject temporal"":1937\,""title"":""Come to Bandung""}\,""items"":null}",Java,uuid:9b2b9295-1ebf-422e-99be-448378257fdd,"Asia,Indonesia,Java,,",,uuid:9b2b9295-1ebf-422e-99be-448378257fdd,Come to Bandung,collection:koloniaal_erfgoed,,1754744100897161216,,2015-02-13T13:55:40.229Z,,
"",Map,Tandjong Balai,,2015-02-13T13:43:23.171Z,,,"{""pid"":""uuid:569ab619-8eca-47bb-a70e-0ceaf56b9efd""\,""type"":""Map""\,""label"":""Tandjong Balai""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1945\, Met tweetalige index (EN\\/NL) van belangrijke gebouwen\, city map\, coloured\, 50 x 62 cm""\,""cartographics"":{""scale"":"" 1:5.800""\,""coordinates"":""O 099°48'--O 099°48'\\/N 002°58'--N 002°58'""}\,""date created"":1945\,""extent"":""50 x 62 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Sumatra""\,""island"":null\,""city"":null}\,""local identifier"":541367\,""origin place"":""s.l.""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""H.Q. Survey production centre S.E. Asia""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 141-04-03""\,""subject"":""city maps""\,""subject temporal"":1945\,""title"":""Tandjong Balai""}\,""items"":null}",Sumatra,uuid:569ab619-8eca-47bb-a70e-0ceaf56b9efd,"Asia,Indonesia,Sumatra,,",,uuid:569ab619-8eca-47bb-a70e-0ceaf56b9efd,Tandjong Balai,collection:koloniaal_erfgoed,,1754744629730738176,,2015-02-13T13:43:15.861Z,,
"",Map,Stadskaart van Batavia,,2015-02-13T13:04:53.418Z,,,"{""pid"":""uuid:fea4ac0c-69e5-4ca2-8275-66c6c242ec42""\,""type"":""Map""\,""label"":""Stadskaart van Batavia""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1936\, Bijkaart: Tandjoengpriok. - Schaal 1:30.000\, city map\, coloured\, 73 x 57 cm""\,""cartographics"":{""scale"":""1:20.000""\,""coordinates"":""O 106°48'--O 106°48'\\/Z 006°10'--Z 006°10'""}\,""date created"":1936\,""extent"":""73 x 57 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541150\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Topografische dienst""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 161-03-03 KK 161-03-04""\,""subject"":""city maps""\,""subject temporal"":1936\,""title"":""Stadskaart van Batavia""}\,""items"":null}",Java,uuid:fea4ac0c-69e5-4ca2-8275-66c6c242ec42,"Asia,Indonesia,Java,,",,uuid:fea4ac0c-69e5-4ca2-8275-66c6c242ec42,Stadskaart van Batavia,collection:koloniaal_erfgoed,,1754744532571783168,,2015-02-13T13:04:47.374Z,,
"",Map,Kaart van de plaats Bangil,,2015-02-13T13:34:23.534Z,,,"{""pid"":""uuid:e00f9466-3b86-405b-8d19-265456ed4754""\,""type"":""Map""\,""label"":""Kaart van de plaats Bangil""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1920\, city map\, coloured\, 52 x 60 cm""\,""cartographics"":{""scale"":""1:5.000""\,""coordinates"":""O 112°47'--O 112°47'\\/Z 007°36'--Z 007°36'""}\,""date created"":1922\,""extent"":""52 x 60 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541278\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Topografische inrichting""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 163-04-03""\,""subject"":""city maps""\,""subject temporal"":1922\,""title"":""Kaart van de plaats Bangil""}\,""items"":null}",Java,uuid:e00f9466-3b86-405b-8d19-265456ed4754,"Asia,Indonesia,Java,,",,uuid:e00f9466-3b86-405b-8d19-265456ed4754,Kaart van de plaats Bangil,collection:koloniaal_erfgoed,,1754744532732215296,,2015-02-13T13:34:17.471Z,,
"",Map,Afdeelingshoofdplaats Temanggoeng,,2015-02-13T13:52:19.526Z,,,"{""pid"":""uuid:b10ee285-d3dc-4fe9-b46a-3a9fdc9bac6c""\,""type"":""Map""\,""label"":""Afdeelingshoofdplaats Temanggoeng""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""city map\, 61 x 86 cm""\,""cartographics"":{""scale"":""1:2.500""\,""coordinates"":""O 110°10'--O 110°10'\\/Z 007°18'--Z 007°18'""}\,""date created"":1922\,""extent"":""61 x 86 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""city"":""Temanggung""}\,""local identifier"":541312\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""s.n.""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 164-01-12""\,""subject"":""city maps""\,""subject temporal"":1922\,""title"":""Afdeelingshoofdplaats Temanggoeng""}\,""items"":null}",Temanggung,uuid:b10ee285-d3dc-4fe9-b46a-3a9fdc9bac6c,"Asia,Indonesia,Java,Temanggung",,uuid:b10ee285-d3dc-4fe9-b46a-3a9fdc9bac6c,Afdeelingshoofdplaats Temanggoeng,collection:koloniaal_erfgoed,,1754744532771012608,,2015-02-13T13:37:23.500Z,,
"",Map,"The mountain city of the east,Come to Bandung",,2015-02-13T13:55:56.471Z,,,"{""pid"":""uuid:3b46027c-0a18-4940-87e6-76812be8fa74""\,""type"":""Map""\,""label"":""Come to Bandung""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1937\, Met Nederlandstalige index van belangrijke gebouwen. - Met foto's\, Verso: Engelstalige toeristische informatie\, city map\, 46 x 43 cm""\,""cartographics"":{""scale"":"" 1:25.000""\,""coordinates"":""O 107°37'14\\""--O 107°37'14\\""\\/Z 006°54'46\\""--Z 006°54'46\\""""}\,""date created"":1937\,""extent"":""46 x 43 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541434\,""origin place"":""s.l.""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""s.n.""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 161-05-11""\,""subTitle"":""The mountain city of the east""\,""subject"":""city maps""\,""subject temporal"":1937\,""title"":""Come to Bandung""}\,""items"":null}",Java,uuid:3b46027c-0a18-4940-87e6-76812be8fa74,"Asia,Indonesia,Java,,",,uuid:3b46027c-0a18-4940-87e6-76812be8fa74,Come to Bandung,collection:koloniaal_erfgoed,,1754744532908376064,,2015-02-13T13:55:50.222Z,,
"",Map,Hoofdplaats Bengkoeloe,,2015-02-13T13:40:24.170Z,,,"{""pid"":""uuid:4dcb71d1-861d-4472-afac-47f8e1d47503""\,""type"":""Map""\,""label"":""Hoofdplaats Bengkoeloe""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1924\, Met korte index van belangrijke gebouwen\, city map\, coloured\, 64 x 59 cm""\,""cartographics"":{""scale"":""1:10.000""\,""coordinates"":""O 102°16'--O 102°16'\\/Z 003°48'--Z 003°48'""}\,""date created"":1924\,""extent"":""64 x 59 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Sumatra""\,""island"":null\,""city"":null}\,""local identifier"":541344\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Topografische inrichting""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""KK 140-08-05""\,""subject"":""city maps""\,""subject temporal"":1924\,""title"":""Hoofdplaats Bengkoeloe""}\,""items"":null}",Sumatra,uuid:4dcb71d1-861d-4472-afac-47f8e1d47503,"Asia,Indonesia,Sumatra,,",,uuid:4dcb71d1-861d-4472-afac-47f8e1d47503,Hoofdplaats Bengkoeloe,collection:koloniaal_erfgoed,,1754744945926733824,,2015-02-13T13:40:12.280Z,,
"",Map,Plan of Batavia,,2015-02-13T13:30:21.968Z,,,"{""pid"":""uuid:484aadc9-dd02-40ec-961c-2b9382e657c3""\,""type"":""Map""\,""label"":""Plan of Batavia""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""abstract"":""Data collected over the period: 1910\, city map\, coloured\, 62 x 22\,5 cm""\,""cartographics"":{""scale"":""1:20.000""\,""coordinates"":""O 106°48'--O 106°48'\\/Z 006°10'--Z 006°10'""}\,""date created"": 1910\,""extent"":""62 x 22\,5 cm""\,""geo"":{""continent"":""Asia""\,""country"":""Indonesia""\,""province"":""Java""\,""island"":null\,""city"":null}\,""local identifier"":541159\,""origin place"":""Batavia""\,""physical location"":""Leiden University Libraries\, Colonial Collection (KIT)""\,""publisher"":""Official Tourist Bureau""\,""rights"":""Creative Commons BY-NC 3.0""\,""shelf"":""D E 21\,8 KK 161-02-01""\,""subject"":""city maps""\,""subject temporal"": 1910\,""title"":""Plan of Batavia""}\,""items"":null}",Java,uuid:484aadc9-dd02-40ec-961c-2b9382e657c3,"Asia,Indonesia,Java,,",,uuid:484aadc9-dd02-40ec-961c-2b9382e657c3,Plan of Batavia,collection:koloniaal_erfgoed,,1754743135934611456,,2015-02-13T13:30:15.893Z,,
