date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Organization,,"engineers,architectenbureau",2014-06-16T10:20:02.324Z,,,"{""pid"":""po:58""\,""type"":""Organization""\,""label"":""N.V. Architecten-Ingenieursbureau Fermont te Weltevreden en Ed. Cuypers te Amsterdam""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300025063""\,""$"":""engineers""}\,{""pid"":""aat:900027065""\,""$"":""architectenbureau""}]\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""prefName"":""N.V. Architecten-Ingenieursbureau Fermont te Weltevreden en Ed. Cuypers te Amsterdam""}\,""items"":{""Person"":[{""role"":""worked at""\,""pid"":""po:137""\,""label"":""Cuypers\, E.H.G.H.""\,""place"":{""pid"":""gn:2748000""\,""$"":""Roermond""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:139""\,""label"":""Dicke\, F.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:141""\,""label"":""Dikstaal\, A.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:152""\,""label"":""Fermont\, A.A.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:182""\,""label"":""Kreisler\, A.R.M.""\,""place"":{""pid"":""gn:2873759""\,""$"":""Marburg""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:192""\,""label"":""Linde\, C. van de""\,""place"":{""pid"":""gn:2752638""\,""$"":""Kloetinge""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:213""\,""label"":""Nix\, C.T.""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:229""\,""label"":""Roebbers\, H.""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:242""\,""label"":""Smits\, A.P.""\,""place"":{""pid"":""gn:2755003""\,""$"":""Haarlem""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}\,{""role"":""worked at""\,""pid"":""po:252""\,""label"":""Taen Err Toung\, Th.J.""\,""place"":{""pid"":""gn:2950159""\,""$"":""Berlin""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}]}}",Jakarta,po:58,"Jakarta,Jakarta",,po:58,N.V. Architecten-Ingenieursbureau Fermont te Weltevreden en Ed. Cuypers te Amsterdam,collection:koloniaal_erfgoed,,1754744558270283776,N.V. Architecten-Ingenieursbureau Fermont te Weltevreden en Ed. Cuypers te Amsterdam,2013-11-25T12:23:14.683Z,,
"",Organization,,"contractors,engineers",2014-06-16T11:30:03.882Z,,,"{""pid"":""po:96""\,""type"":""Organization""\,""label"":""Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Cirebon)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300025052""\,""$"":""contractors""}\,{""pid"":""aat:300025063""\,""$"":""engineers""}]\,""place"":{""pid"":""gn:1646170""\,""$"":""Cirebon""}\,""prefName"":""Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Cirebon)""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:264""\,""label"":""Vries\, de""\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Cirebon,po:96,Cirebon,,po:96,Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Cirebon),collection:koloniaal_erfgoed,,1754744558360461312,Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Cirebon),2013-11-27T14:08:04.462Z,,
"",Organization,,architectenbureau,2014-06-16T09:40:02.709Z,,,"{""pid"":""po:66""\,""type"":""Organization""\,""label"":""Atelier P.J.H. Cuypers""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""name"":""P.J.H. Cuypers""\,""prefName"":""Atelier P.J.H. Cuypers""}\,""items"":null}",,po:66,,,po:66,Atelier P.J.H. Cuypers,collection:koloniaal_erfgoed,,1754746490257932288,"P.J.H. Cuypers,Atelier P.J.H. Cuypers",2013-11-26T09:12:06.592Z,,
"",Organization,,universities,2014-11-05T15:50:02.418Z,,,"{""pid"":""po:8""\,""type"":""Organization""\,""label"":""Technische Universiteit Delft""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300006617""\,""$"":""universities""}\,""name"":[""TU Delft""\,""Delft Technical University""]\,""place"":{""pid"":""gn:2757345""\,""$"":""Delft""}\,""prefName"":""Technische Universiteit Delft""}\,""items"":null}",Delft,po:8,Delft,,po:8,Technische Universiteit Delft,collection:koloniaal_erfgoed,,1754746631143555072,"TU Delft,Delft Technical University,Technische Universiteit Delft",2013-10-24T15:10:20.396Z,,
"",Organization,,architectenbureau,2014-06-16T10:00:05.841Z,,,"{""pid"":""po:45""\,""type"":""Organization""\,""label"":""Klinkhamer\, J.F.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""prefName"":""Klinkhamer\, J.F.""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:215""\,""label"":""Ouëndag\, B.J.""\,""place"":{""pid"":""gn:2759794""\,""$"":""Amsterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",,po:45,,,po:45,"Klinkhamer, J.F.",collection:koloniaal_erfgoed,,1754746630995705856,"Klinkhamer\, J.F.",2013-11-25T10:13:20.584Z,,
"",Organization,,architectenbureau,2014-06-16T10:20:02.157Z,,,"{""pid"":""po:49""\,""type"":""Organization""\,""label"":""Nix en Van Hasselt""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""prefName"":""Nix en Van Hasselt""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:213""\,""label"":""Nix\, C.T.""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",,po:49,,,po:49,Nix en Van Hasselt,collection:koloniaal_erfgoed,,1754747270800080896,Nix en Van Hasselt,2013-11-25T10:27:32.010Z,,
"",Organization,,architectenbureau,2014-06-16T10:10:02.598Z,,,"{""pid"":""po:48""\,""type"":""Organization""\,""label"":""M. de Klerk\, Gulden en Geldmaker\, Ed. Cuypers""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:900027065""\,""$"":""architectenbureau""}\,""place"":{""pid"":""gn:2759794""\,""$"":""Amsterdam""}\,""prefName"":""M. de Klerk\, Gulden en Geldmaker\, Ed. Cuypers""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:190""\,""label"":""Liem\, B.T.""\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Amsterdam,po:48,Amsterdam,,po:48,"M. de Klerk, Gulden en Geldmaker, Ed. Cuypers",collection:koloniaal_erfgoed,,1754747158826844160,"M. de Klerk\, Gulden en Geldmaker\, Ed. Cuypers",2013-11-25T10:26:21.710Z,,
"",Organization,,contractors,2014-09-04T15:58:31.042Z,,,"{""pid"":""po:28""\,""type"":""Organization""\,""label"":""Aannemer J. Bennink""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300025052""\,""$"":""contractors""}\,""place"":{""pid"":""gn:1626381""\,""$"":""Sukabumi""}\,""prefName"":""Aannemer J. Bennink""}\,""items"":{""Person"":{""role"":""worked at""\,""pid"":""po:103""\,""label"":""Aalbers\, A.F.""\,""place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",Sukabumi,po:28,Sukabumi,,po:28,Aannemer J. Bennink,collection:koloniaal_erfgoed,,1754747158714646528,Aannemer J. Bennink,2013-11-21T14:22:43.610Z,,
"",Organization,,academies (organizations),2014-06-16T12:40:02.410Z,,,"{""pid"":""po:67""\,""type"":""Organization""\,""label"":""Avondvakschool""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300007089""\,""$"":""academies (organizations)""}\,""place"":{""pid"":""gn:2747373""\,""$"":""The Hague""}\,""prefName"":""Avondvakschool""}\,""items"":{""Person"":{""role"":""student at""\,""pid"":""po:160""\,""label"":""Groenewegen\, J.M.""\,""place"":{""pid"":""gn:2747373""\,""$"":""The Hague""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}}}}",The Hague,po:67,"The Hague,Den Haag,The Hague",,po:67,Avondvakschool,collection:koloniaal_erfgoed,,1754747470010646528,Avondvakschool,2013-11-26T09:33:47.511Z,,
"",Organization,,"contractors,engineers",2014-06-16T11:30:03.160Z,,,"{""pid"":""po:51""\,""type"":""Organization""\,""label"":""Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Jakarta)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":[{""pid"":""aat:300025052""\,""$"":""contractors""}\,{""pid"":""aat:300025063""\,""$"":""engineers""}]\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""prefName"":""Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Jakarta)""}\,""items"":null}",Jakarta,po:51,"Jakarta,Jakarta",,po:51,Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Jakarta),collection:koloniaal_erfgoed,,1754747583565135872,Ingenieurs- en aannemingsbedrijf Reyerse & de Vries (Jakarta),2013-11-25T11:10:52.127Z,,
