date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
1949,Person,,architects,2014-01-28T14:45:35.163Z,,,"{""pid"":""po:155""\,""type"":""Person""\,""label"":""Gerber\, J.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""deathDate"":1949\,""group"":""Architects who worked in Dutch colonies""\,""isPrimaryTopicOf"":{""url"":""http:\\/\\/zoeken.nai.nl\\/CIS\\/persoon\\/6126""}\,""prefName"":""Gerber\, J.""}\,""items"":{""Building"":[{""role"":""has architect""\,""pid"":""bt:101""\,""label"":""Hoogere Burgerschool Surabaya""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""date"":1923}\,{""role"":""has architect""\,""pid"":""bt:61""\,""label"":""Departement van Gouvernementsbedrijven""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}\,""date"":1920}]\,""Image"":{""role"":""has photographer""\,""pid"":""uuid:9be55edc-da49-486b-8d7c-cef2d15615c3""\,""label"":""Voorgevel van de H.B.S. te Surabaya\, Java""\,""date"":1923}}}",,po:155,,,po:155,"Gerber, J.",collection:koloniaal_erfgoed,,1754744126834737152,"Gerber\, J.,Architects who worked in Dutch colonies",2014-01-28T14:45:31.749Z,,
"1833,1880",Person,,architects,2014-01-28T14:44:08.470Z,,,"{""pid"":""po:154""\,""type"":""Person""\,""label"":""Gendt\, J. van""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""birthDate"":1833\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""deathDate"":""1880-12-21""\,""death place"":{""pid"":""gn:1848354""\,""$"":""Yokohama""}\,""group"":""Architects who worked in Dutch colonies""\,""isPrimaryTopicOf"":{""url"":""http:\\/\\/nl.wikipedia.org\\/wiki\\/Jan_van_Gendt_(architect)""}\,""name"":[""Gendt\, Johan Godart van""\,""Gendt\, Jan van""]\,""prefName"":""Gendt\, J. van""}\,""items"":{""Building"":[{""role"":""has architect""\,""pid"":""bt:110""\,""label"":""Postkantoor Bandung""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}}\,{""role"":""has architect""\,""pid"":""bt:207""\,""label"":""Postkantoor Meester Cornelis""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}}\,{""role"":""has architect""\,""pid"":""bt:209""\,""label"":""Postkantoor Jakarta""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}}\,{""role"":""has architect""\,""pid"":""bt:210""\,""label"":""Kantoorgebouw Postspaarbank""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":""ca. 1920; 1930""}\,{""role"":""has architect""\,""pid"":""bt:380""\,""label"":""Departement\\/Bureau Post-\, Telegraaf en Telefoondienst""\,""place"":{""pid"":""gn:1650357""\,""$"":""Bandung""}}]}}",Yokohama,po:154,Yokohama,,po:154,"Gendt, J. van",collection:koloniaal_erfgoed,,1754744226186264576,"Gendt\, Johan Godart van,Gendt\, Jan van,Gendt\, J. van,Architects who worked in Dutch colonies",2014-01-28T14:44:05.154Z,,
"",Person,,architects,2014-06-12T15:00:02.487Z,,,"{""pid"":""po:114""\,""type"":""Person""\,""label"":""Baumgartner\, R.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""prefName"":""Baumgartner\, R.""}\,""items"":{""Building"":{""role"":""has architect""\,""pid"":""bt:213""\,""label"":""Post- en telegraafkantoor Kota Jakarta""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":1929}\,""Organization"":{""role"":""studied here""\,""pid"":""po:79""\,""label"":""Technische Hogeschool Bandung""}}}",,po:114,,,po:114,"Baumgartner, R.",collection:koloniaal_erfgoed,,1754744226034221056,"Baumgartner\, R.,Architects who worked in Dutch colonies,Technische Hogeschool Bandung,Technical College of Bandung",2013-12-17T09:36:18.844Z,,
"",Person,,architects,2014-03-17T15:11:12.911Z,,,"{""pid"":""po:166""\,""type"":""Person""\,""label"":""Hes\, H.A.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""prefName"":""Hes\, H.A.""}\,""items"":{""Building"":[{""role"":""has architect""\,""pid"":""bt:147""\,""label"":""Kantoorgebouw Internationale Crediet en Handelsvereeniging Rotterdam""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""date"":1929}\,{""role"":""has architect""\,""pid"":""bt:257""\,""label"":""Stationsgebouw Kota""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":1929}]\,""Organization"":{""role"":""worked here""\,""pid"":""po:24""\,""label"":""Algemeen Ingenieurs- en Architecten Bureau (Jakarta)""}}}",,po:166,,,po:166,"Hes, H.A.",collection:koloniaal_erfgoed,,1754744445854547968,"Hes\, H.A.,Architects who worked in Dutch colonies,Algemeen Ingenieurs- en Architecten Bureau (Jakarta),A.I.A.,A.I.A.-bureau\, Jakarta",2014-01-29T11:26:55.822Z,,
"",Person,,architects,2014-03-17T14:48:36.525Z,,,"{""pid"":""po:130""\,""type"":""Person""\,""label"":""Bruyn\, J. de""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""prefName"":""Bruyn\, J. de""}\,""items"":{""Building"":{""role"":""has architect""\,""pid"":""bt:152""\,""label"":""Kantoorgebouw Nederlandse Handel Maatschappij""\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""date"":1929}\,""Image"":{""role"":""has architect""\,""pid"":""uuid:cb7a2fec-f2b2-4322-9fe7-208cc4497f1e""\,""label"":""Luchtfoto van Batavia met de Javasche Bank\, de Factorij van de NHM\, het spoorwegstation Kota en de Chinese wijk""\,""date"":""1933-1935""}\,""Organization"":{""role"":""worked here""\,""pid"":""po:59""\,""label"":""N.V. Architecten-Ingenieursbureau Hulswit en Fermont te Weltevreden en Ed. Cuypers te Amsterdam""}}}",,po:130,,,po:130,"Bruyn, J. de",collection:koloniaal_erfgoed,,1754744558063714304,"Bruyn\, J. de,Architects who worked in Dutch colonies,N.V. Architecten-Ingenieursbureau Hulswit en Fermont te Weltevreden en Ed. Cuypers te Amsterdam,N.V. Architecten en Ingenieursbureau Hulswit en Fermont te Weltevreden en Ed. Cuypers te Amsterdam",2014-01-28T09:59:36.637Z,,
"1881,1953",Person,,architects,2014-10-01T12:20:02.660Z,,,"{""pid"":""po:222""\,""type"":""Person""\,""label"":""Plate\, A.""\,""datastream-ID"":[""TECHMD""\,""OBJ""\,""MEDIUM_SIZE""\,""TN""]\,""meta"":{""birthDate"":""1881-02-18""\,""birth place"":{""pid"":""gn:2747891""\,""$"":""Rotterdam""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""deathDate"":""1953-06-08""\,""death place"":{""pid"":""gn:2749723""\,""$"":""Oegstgeest""}\,""group"":""Architects who worked in Dutch colonies""\,""name"":""Plate\, Auguste""\,""prefName"":""Plate\, A.""}\,""items"":{""Organization"":{""role"":""studied here""\,""pid"":""po:69""\,""label"":""Polytechnische School""}}}","Rotterdam,Oegstgeest",po:222,"Rotterdam,Oegstgeest",,po:222,"Plate, A.",collection:koloniaal_erfgoed,,1754744968855945216,"Plate\, Auguste,Plate\, A.,Architects who worked in Dutch colonies,Polytechnische School",2014-01-30T10:29:34.866Z,,
"",Person,,architects,2013-12-19T10:04:44.794Z,,,"{""pid"":""po:124""\,""type"":""Person""\,""label"":""Bolsius\, G.J.P.M.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""isPrimaryTopicOf"":{""url"":""http:\\/\\/zoeken.nai.nl\\/CIS\\/persoon\\/6119""}\,""prefName"":""Bolsius\, G.J.P.M.""}\,""items"":{""Building"":[{""role"":""has architect""\,""pid"":""bt:214""\,""label"":""Post- en telegraafkantoor Tegal""\,""place"":{""pid"":""gn:1624494""\,""$"":""Tegal""}}\,{""role"":""has architect""\,""pid"":""bt:387""\,""label"":""Postkantoor Soerabaja""\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}}\,{""role"":""has architect""\,""pid"":""bt:45""\,""label"":""Centraal Burgerlijke Ziekeninrichting Semarang""\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}}]\,""Image"":{""role"":""has architect""\,""pid"":""uuid:93721eec-e40b-4203-bc94-f7e3de1ca6e4""\,""label"":""Het Hoofd Postkantoor (links) aan de Regentstraat\, Soerabaja ca. 1935""\,""date"":""ca.""}}}",,po:124,,,po:124,"Bolsius, G.J.P.M.",collection:koloniaal_erfgoed,,1754746490155171840,"Bolsius\, G.J.P.M.,Architects who worked in Dutch colonies",2013-12-19T10:04:41.596Z,,
"1885,1960",Person,,architects,2014-03-12T09:54:52.354Z,,,"{""pid"":""po:203""\,""type"":""Person""\,""label"":""Mertens\, H.F.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""birthDate"":""1885-08-15""\,""birth place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""deathDate"":""1960-01-27""\,""death place"":{""pid"":""gn:2748926""\,""$"":""Oud-Loosdrecht""}\,""group"":""Architects who worked in Dutch colonies""\,""isPrimaryTopicOf"":[{""url"":""http:\\/\\/zoeken.nai.nl\\/CIS\\/persoon\\/3303""}\,{""url"":""http:\\/\\/nl.wikipedia.org\\/wiki\\/Hermann_Friedrich_Mertens""}]\,""name"":""Mertens\, Hermann Friedrich""\,""prefName"":""Mertens\, H.F.""}\,""items"":{""Organization"":{""role"":""studied here""\,""pid"":""po:73""\,""label"":""Technische Hogeschool Delft""}}}","Jakarta,Oud-Loosdrecht",po:203,"Jakarta,Jakarta,Oud-Loosdrecht",,po:203,"Mertens, H.F.",collection:koloniaal_erfgoed,,1754746758551830528,"Mertens\, Hermann Friedrich,Mertens\, H.F.,Architects who worked in Dutch colonies,Technische Hogeschool Delft",2014-01-30T10:01:37.394Z,,
"",Person,,architects,2014-06-12T14:50:02.259Z,,,"{""pid"":""po:110""\,""type"":""Person""\,""label"":""Anwari""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""prefName"":""Anwari""}\,""items"":{""Organization"":{""role"":""studied here""\,""pid"":""po:79""\,""label"":""Technische Hogeschool Bandung""}}}",,po:110,,,po:110,Anwari,collection:koloniaal_erfgoed,,1754746758460604416,"Anwari,Architects who worked in Dutch colonies,Technische Hogeschool Bandung,Technical College of Bandung",2013-12-17T09:27:04.871Z,,
"",Person,,architects,2014-01-30T10:49:56.503Z,,,"{""pid"":""po:233""\,""type"":""Person""\,""label"":""Rotteveel\, M.J.""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""MEDIUM_SIZE""]\,""meta"":{""concept"":{""pid"":""aat:300024987""\,""$"":""architects""}\,""group"":""Architects who worked in Dutch colonies""\,""prefName"":""Rotteveel\, M.J.""}\,""items"":null}",,po:233,,,po:233,"Rotteveel, M.J.",collection:koloniaal_erfgoed,,1754746947680337920,"Rotteveel\, M.J.,Architects who worked in Dutch colonies",2014-01-30T10:49:52.959Z,,
