date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
"",Report,Perdjandjian Djual Beli (Agreement Transaction) Li Fung Shen,,2018-07-05T06:10:17.741Z,,,"{""pid"":""uuid:e025a699-4105-441b-86dc-dd4abfad21a8""\,""type"":""Report""\,""label"":""Perdjandjian Djual Beli (Agreement Transaction) Li Fung  Shen""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""abstract"":""perusahaan obat njamuk""\,""creator"":""Si\, K. J. (Khwan Jiu)""\,""date issued"":""1950-04-01""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""shelf"":""Bundle 1949-1953 I\, 1621-1624""\,""subject"":""location is Jakarta\, Kampung Krendang Kebon Sayur\, Jembatan Lima; Sold for 5000 Indonesian Rupiah; buyer Wong A Yong; seller is Li Fung Shen; topic is transaction lot; document identifier is 4;""\,""title"":""Perdjandjian Djual Beli (Agreement Transaction) Li Fung Shen""}\,""items"":null}",,uuid:e025a699-4105-441b-86dc-dd4abfad21a8,,,uuid:e025a699-4105-441b-86dc-dd4abfad21a8,Perdjandjian Djual Beli (Agreement Transaction) Li Fung  Shen,collection:koloniaal_erfgoed,,1754743810456289280,,2018-07-05T06:10:10.955Z,,
"",Report,Eigendomsbewijs (Certificate of ownership) Pak Falip (Kasiniadi),,2018-07-30T01:43:39.512Z,,,"{""pid"":""uuid:d244118b-58fd-4f07-8aa9-29ffa1293451""\,""type"":""Report""\,""label"":""Eigendomsbewijs (Certificate of ownership) Pak Falip (Kasiniadi)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""date issued"":""1898-06-28""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""subject"":""location is Gresik\, kampung Pakelingan ; value in Dutch Guilders is 500; extent in square metres is about 50.5 metres; Sech Abdulrachman ibn Abdullah Gateni; Pak Falip (Kasiniadi); topic is transaction lot; document identifier is 428; Pak Falip (Kasiniadi)""\,""title"":""Eigendomsbewijs (Certificate of ownership) Pak Falip (Kasiniadi)""}\,""items"":null}",,uuid:d244118b-58fd-4f07-8aa9-29ffa1293451,,,uuid:d244118b-58fd-4f07-8aa9-29ffa1293451,Eigendomsbewijs (Certificate of ownership) Pak Falip (Kasiniadi),collection:koloniaal_erfgoed,,1754743811074949120,,2018-07-30T01:43:32.967Z,,
"",Report,Perdjandjian Djual Beli (Agreement Transaction) Nyo Seng Hoo,,2018-07-07T03:57:06.700Z,,,"{""pid"":""uuid:bc43a626-a3ac-4130-bb3d-7fecf43c2734""\,""type"":""Report""\,""label"":""Perdjandjian Djual Beli (Agreement Transaction) Nyo Seng Hoo""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""creator"":""Si\, K. J. (Khwan Jiu)""\,""date issued"":""1950-07-12""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""shelf"":""Bundle 1949-1953 I\, 3126-3130""\,""subject"":""location is Jakarta; buyer is Hu Teng Tan; seller is Nyo Seng Hoo; topic is transaction; document identifier is 33;""\,""title"":""Perdjandjian Djual Beli (Agreement Transaction) Nyo Seng Hoo""}\,""items"":null}",,uuid:bc43a626-a3ac-4130-bb3d-7fecf43c2734,,,uuid:bc43a626-a3ac-4130-bb3d-7fecf43c2734,Perdjandjian Djual Beli (Agreement Transaction) Nyo Seng Hoo,collection:koloniaal_erfgoed,,1754743810683830272,,2018-07-07T03:56:59.332Z,,
"",Report,Hutang (Debt) Sim Ku Jian,,2018-07-05T11:48:12.983Z,,,"{""pid"":""uuid:415dc879-c34d-44a5-a1d7-c516630aa87c""\,""type"":""Report""\,""label"":""Hutang (Debt) Sim Ku Jian""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""creator"":""Si\, K. J. (Khwan Jiu)""\,""date issued"":""1953-07-02""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""shelf"":""Bundle 1949-1953 I\, 1764-1767""\,""subject"":""location is Jakarta; Aristide William Lauw Zecha; Sim Ku Jian; topic is decision; document identifier is 7;""\,""title"":""Hutang (Debt) Sim Ku Jian""}\,""items"":null}",,uuid:415dc879-c34d-44a5-a1d7-c516630aa87c,,,uuid:415dc879-c34d-44a5-a1d7-c516630aa87c,Hutang (Debt) Sim Ku Jian,collection:koloniaal_erfgoed,,1754743810585264128,,2018-07-05T11:48:06.212Z,,
"",Report,Surat Wasiat (Testimony) Qiam Ki Eng,,2018-07-08T05:21:12.562Z,,,"{""pid"":""uuid:39137a9d-d34d-404e-893f-822046751fe6""\,""type"":""Report""\,""label"":""Surat Wasiat (Testimony) Qiam Ki Eng""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""creator"":""Si\, K. J. (Khwan Jiu)""\,""date issued"":""1950-02-15""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""shelf"":""Bundle 1949-1953 I\, 3626-3629""\,""subject"":[""location is Jakarta""\,""Qiam Ki Eng""\,""topic is decision""\,""document identifier is 66""]\,""title"":""Surat Wasiat (Testimony) Qiam Ki Eng""}\,""items"":null}",,uuid:39137a9d-d34d-404e-893f-822046751fe6,,,uuid:39137a9d-d34d-404e-893f-822046751fe6,Surat Wasiat (Testimony) Qiam Ki Eng,collection:koloniaal_erfgoed,,1754743810777153536,,2018-07-08T05:21:05.196Z,,
"",Report,Ontvangst (Receipt) Ong Siu Qing,,2018-07-30T01:06:34.742Z,,,"{""pid"":""uuid:793780e0-2d33-4c9f-823a-4442fdabef47""\,""type"":""Report""\,""label"":""Ontvangst (Receipt) Ong Siu Qing""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""date issued"":""1898-06-15""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""subject"":""location is Surabaya\, Sidoarjo\, Jenggolo 3; Location Reference is A 217; Ong Siu Qing; topic is ownership""\,""title"":""Ontvangst (Receipt) Ong Siu Qing""}\,""items"":null}",,uuid:793780e0-2d33-4c9f-823a-4442fdabef47,,,uuid:793780e0-2d33-4c9f-823a-4442fdabef47,Ontvangst (Receipt) Ong Siu Qing,collection:koloniaal_erfgoed,,1754743810972188672,,2018-07-30T01:06:29.512Z,,
"",Report,Surat Ukur (Survey Report) B.R.A. Purbohadikusuno,,2018-07-29T04:40:55.883Z,,,"{""pid"":""uuid:85ba402c-e328-4412-8f8c-f3a5a560eaea""\,""type"":""Report""\,""label"":""Surat Ukur (Survey Report) B.R.A. Purbohadikusuno""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""date issued"":""1948-12-07""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""subject"":""location is Yogyakarta; Jalan Tukun 29; topic is ownership;""\,""title"":""Surat Ukur (Survey Report) B.R.A. Purbohadikusuno""}\,""items"":null}",,uuid:85ba402c-e328-4412-8f8c-f3a5a560eaea,,,uuid:85ba402c-e328-4412-8f8c-f3a5a560eaea,Surat Ukur (Survey Report) B.R.A. Purbohadikusuno,collection:koloniaal_erfgoed,,1754743810879913984,,2018-07-29T04:40:48.840Z,,
"",Report,Debet (debit) R.W. Prawironadhi,,2018-07-30T03:14:42.508Z,,,"{""pid"":""uuid:d15d7931-983e-495c-bd49-3f9160a6bf25""\,""type"":""Report""\,""label"":""Debet (debit) R.W. Prawironadhi""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""date issued"":""191?-03-31""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""subject"":""location is Yogyakarta; topic is receipt; R.W. Prawironadhi;""\,""title"":""Debet (debit) R.W. Prawironadhi""}\,""items"":null}",,uuid:d15d7931-983e-495c-bd49-3f9160a6bf25,,,uuid:d15d7931-983e-495c-bd49-3f9160a6bf25,Debet (debit) R.W. Prawironadhi,collection:koloniaal_erfgoed,,1754743811150446592,,2018-07-30T03:14:36.952Z,,
"",Report,"surveyor document,Erfenisakte van Mbok Janiman (Haji Halimah)",,2018-06-19T09:44:00.454Z,,,"{""pid"":""uuid:bcf49f00-4515-464d-8bb2-ef04c4e63db6""\,""type"":""Report""\,""label"":""Erfenisakte van Mbok Janiman (Haji Halimah)""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""abstract"":""Het perceel\, bebouwd met een bamboezen met atappen gedekt huis en een steenen met pannen gedekte pedak""\,""date issued"":""1889-10-23""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives on the cosmopolitan urban landscapes of colonial ports on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""subTitle"":""surveyor document""\,""subject"":[""location is Surabaya\, kampung Ampel""\,""salary register is 531""\,""seller is Mbok Janiman (Haji Halimah)""\,""document identifier is 298""\,""extent in square meters is 228\,9""\,""value in Dutch guilders is 1200""]\,""title"":""Erfenisakte van Mbok Janiman (Haji Halimah)""}\,""items"":null}",,uuid:bcf49f00-4515-464d-8bb2-ef04c4e63db6,,,uuid:bcf49f00-4515-464d-8bb2-ef04c4e63db6,Erfenisakte van Mbok Janiman (Haji Halimah),collection:koloniaal_erfgoed,,1754744224808435712,,2018-05-24T11:02:06.212Z,,
"",Report,Perdjandjian Djual Beli (Agreement Transaction) Ho Siang Ki,,2018-07-31T12:40:31.366Z,,,"{""pid"":""uuid:ece9420c-2cca-4815-b321-989e55ef78b8""\,""type"":""Report""\,""label"":""Perdjandjian Djual Beli (Agreement Transaction) Ho Siang Ki""\,""datastream-ID"":[""OBJ""\,""TECHMD""\,""TN""\,""PREVIEW""\,""FULL_TEXT""]\,""meta"":{""creator"":""Si\, K. J. (Khwan Jiu)""\,""date issued"":""1950-04-26""\,""physical location"":""Universitas Gadjah Mada (UGM)\, Yogyakarta""\,""rights"":""This document was digitised as part of the project \\""Bamboo\, Bricks\, Tiles and Thatches\\"": Preserving the 19th and early 20th Century archives concerning real estate on Java\, Indonesia (funded by the Marinus Plantema Foundation). For further information please contact the initiator of the project Simon C. Kemper (s.c.kemper@hum.leidenuniv.nl or simoncarloskemper@gmail.com).""\,""shelf"":""Bundle 1949-1953 I\, 5819-5822""\,""subject"":""location is Serang\, Desa Kamasan\, Anyar; buyer is Marhumin; seller is Ho Siang Ki;topic is transaction lot; document identifier is 99;""\,""title"":""Perdjandjian Djual Beli (Agreement Transaction) Ho Siang Ki""}\,""items"":null}",,uuid:ece9420c-2cca-4815-b321-989e55ef78b8,,,uuid:ece9420c-2cca-4815-b321-989e55ef78b8,Perdjandjian Djual Beli (Agreement Transaction) Ho Siang Ki,collection:koloniaal_erfgoed,,1754744225009762304,,2018-07-31T12:40:24.079Z,,
