date,type,title,f_concept,recordModified,latLong,f_location,json,f_place,id,place,RELS_EXT_isSequenceNumber_literal_ms,PID,label,collection,text_nodes_HOCR_hlt,_version_,name,recordCreated,location,RELS_EXT_isMemberOf_uri_ms
1933,TownPlan,,urban planning,2014-06-11T15:20:02.637Z,,,"{""pid"":""bt:335""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Malang""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1933\,""place"":{""pid"":""gn:1636722""\,""$"":""Malang""}\,""subTitle"":[""Uitbreidingswijk""\,""Stadsplan""\,""Uitbreidingsplan""]\,""title"":""Stedenbouwkundig plan Malang""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:177""\,""label"":""Karsten\, Th.""}}}",Malang,bt:335,Malang,,bt:335,Stedenbouwkundig plan Malang,collection:koloniaal_erfgoed,,1754744744139816960,"Uitbreidingswijk,Stadsplan,Uitbreidingsplan,Stedenbouwkundig plan Malang,Karsten\, Th.,Karsten\, Herman Thomas,Karsten\, Thomas",2014-06-11T15:13:16.026Z,,
"",TownPlan,,urban planning,2014-07-04T12:00:02.995Z,"-6.216074\,106.812584",,"{""pid"":""bt:342""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Buitenzorg Oost""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""geo"":{""citySection"":""Taman Taneh Abang III\, nr. 10""}\,""latitude"":-6.216074\,""longitude"":106.812584\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""subTitle"":[""Uitbreidingsplan""\,""Stadsplan""]\,""title"":""Stedenbouwkundig plan Buitenzorg Oost""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:190""\,""label"":""Liem\, B.T.""}}}",Jakarta,bt:342,"Taman Taneh Abang III\, nr. 10,Jakarta,Jakarta",,bt:342,Stedenbouwkundig plan Buitenzorg Oost,collection:koloniaal_erfgoed,,1754748328498692096,"Uitbreidingsplan,Stadsplan,Stedenbouwkundig plan Buitenzorg Oost,Liem\, B.T.,Liem Bwan Tjie",2014-06-12T08:36:55.228Z,,
1910,TownPlan,,stationsgebouwen,2014-06-12T09:00:02.863Z,,,"{""pid"":""bt:347""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Menteng-Nieuw Gondangdia""\,""meta"":{""concept"":{""pid"":""aat:300007794""\,""$"":""stationsgebouwen""}\,""date completed"":1910\,""geo"":{""citySection"":""Nieuw Gondangdia""}\,""place"":{""pid"":""gn:1646170""\,""$"":""Cirebon""}\,""subTitle"":[""Wegtracering en bebouwingsplan""\,""Stadsplan""\,""Uitbreidingsplan""]\,""title"":""Stedenbouwkundig plan Menteng-Nieuw Gondangdia""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:205""\,""label"":""Moojen\, P.A.J.""}}}",Cirebon,bt:347,"Nieuw Gondangdia,Cirebon",,bt:347,Stedenbouwkundig plan Menteng-Nieuw Gondangdia,collection:koloniaal_erfgoed,,1754748968771780608,"Wegtracering en bebouwingsplan,Stadsplan,Uitbreidingsplan,Stedenbouwkundig plan Menteng-Nieuw Gondangdia,Moojen\, P.A.J.,Moojen\, Pieter Adrianus Jacobus",2014-06-12T08:52:43.919Z,,
1937,TownPlan,,urban planning,2014-06-12T08:20:05.238Z,,,"{""pid"":""bt:339""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Palembang""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1937\,""place"":{""pid"":""gn:1633070""\,""$"":""Palembang""}\,""subTitle"":""Stadsplan""\,""title"":""Stedenbouwkundig plan Palembang""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:196""\,""label"":""Lüning\, H.""}}}",Palembang,bt:339,Palembang,,bt:339,Stedenbouwkundig plan Palembang,collection:koloniaal_erfgoed,,1754748654093074432,"Stadsplan,Stedenbouwkundig plan Palembang,Lüning\, H.,Lüning\, Hans",2014-06-12T08:18:23.531Z,,
1949,TownPlan,,urban planning,2014-06-27T12:00:02.645Z,,,"{""pid"":""bt:338""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Balikpapan""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1949\,""place"":{""pid"":""gn:1650527""\,""$"":""Balikpapan""}\,""subTitle"":[""Wederopbouwplan""\,""Stadsplan""]\,""title"":""Stedenbouwkundig plan Balikpapan""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:196""\,""label"":""Lüning\, H.""}}}",Balikpapan,bt:338,Balikpapan,,bt:338,Stedenbouwkundig plan Balikpapan,collection:koloniaal_erfgoed,,1754751022443528192,"Wederopbouwplan,Stadsplan,Stedenbouwkundig plan Balikpapan,Lüning\, H.,Lüning\, Hans",2014-06-12T08:16:53.021Z,,
1935,TownPlan,,urban planning,2014-06-12T08:10:02.989Z,,,"{""pid"":""bt:336""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Malang""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1935\,""place"":{""pid"":""gn:1636722""\,""$"":""Malang""}\,""subTitle"":""Ontwikkelingsplan""\,""title"":""Stedenbouwkundig plan Malang""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:177""\,""label"":""Karsten\, Th.""}}}",Malang,bt:336,Malang,,bt:336,Stedenbouwkundig plan Malang,collection:koloniaal_erfgoed,,1754750595708747776,"Ontwikkelingsplan,Stedenbouwkundig plan Malang,Karsten\, Th.,Karsten\, Herman Thomas,Karsten\, Thomas",2014-06-12T08:01:09.846Z,,
1928,TownPlan,,urban planning,2014-06-12T08:40:02.304Z,,,"{""pid"":""bt:341""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Ketabang Oost""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1928\,""place"":{""pid"":""gn:1625822""\,""$"":""Surabaya""}\,""subTitle"":[""Bebouwingsplan""\,""Stratenplan""]\,""title"":""Stedenbouwkundig plan Ketabang Oost""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:260""\,""label"":""Nobile de Vistarini\, B.A.""}}}",Surabaya,bt:341,Surabaya,,bt:341,Stedenbouwkundig plan Ketabang Oost,collection:koloniaal_erfgoed,,1754746134800105472,"Bebouwingsplan,Stratenplan,Stedenbouwkundig plan Ketabang Oost,Nobile de Vistarini\, B.A.,Vistarini\, B. Nobile de,Vistarini\, Bruno Nobile de,Vistarini\, Bruno Adolf Nobile de",2014-06-12T08:34:58.459Z,,
1914,TownPlan,,urban planning,2014-06-12T08:40:02.473Z,,,"{""pid"":""bt:343""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Soerabaja""\,""meta"":{""concept"":{""pid"":""aat:300054427""\,""$"":""urban planning""}\,""date completed"":1914\,""subTitle"":[""Dermo""\,""Stadsplan""\,""Uitbreidingsplan""\,""Uitbreidingswijk""\,""Darmo""]\,""title"":""Stedenbouwkundig plan Soerabaja""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:198""\,""label"":""Maclaine Pont\, H.""}}}",,bt:343,,,bt:343,Stedenbouwkundig plan Soerabaja,collection:koloniaal_erfgoed,,1754741251810263040,"Dermo,Stadsplan,Uitbreidingsplan,Uitbreidingswijk,Darmo,Stedenbouwkundig plan Soerabaja,Maclaine Pont\, H.,Maclaine Pont\, Henri",2014-06-12T08:38:36.834Z,,
1920,TownPlan,,stationsgebouwen,2014-06-12T08:50:02.506Z,,,"{""pid"":""bt:345""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Buitenzorg""\,""meta"":{""concept"":{""pid"":""aat:300007794""\,""$"":""stationsgebouwen""}\,""date completed"":1920\,""geo"":{""citySection"":""Buitenzorg""}\,""place"":{""pid"":""gn:1642911""\,""$"":""Jakarta""}\,""subTitle"":[""Uitbreidingswijk""\,""Stadsplan""\,""Uitbreidingsplan""]\,""title"":""Stedenbouwkundig plan Buitenzorg""}\,""items"":{""Person"":{""role"":""architect of""\,""pid"":""po:177""\,""label"":""Karsten\, Th.""}}}",Jakarta,bt:345,"Buitenzorg,Jakarta,Jakarta",,bt:345,Stedenbouwkundig plan Buitenzorg,collection:koloniaal_erfgoed,,1754755210139402240,"Uitbreidingswijk,Stadsplan,Uitbreidingsplan,Stedenbouwkundig plan Buitenzorg,Karsten\, Th.,Karsten\, Herman Thomas,Karsten\, Thomas",2014-06-12T08:49:23.043Z,,
"1916,1919",TownPlan,,,2014-06-12T09:00:02.732Z,,,"{""pid"":""bt:346""\,""type"":""TownPlan""\,""label"":""Stedenbouwkundig plan Semarang""\,""meta"":{""date completed"":""1916-1919""\,""place"":{""pid"":""gn:1627896""\,""$"":""Semarang""}\,""subTitle"":[""Uitbreidingsplan""\,""Stadsplan""]\,""title"":""Stedenbouwkundig plan Semarang""}\,""items"":{""Image"":[{""role"":""has subject""\,""pid"":""uuid:0512b10e-8822-4d76-871d-77be5ab3d0af""\,""label"":""Villa's op de heuvels van de wijk Nieuw Tjandi te Semarang""\,""date"":""1900-1940""}\,{""role"":""has subject""\,""pid"":""uuid:157fabaa-f981-4f36-ad36-3c39142a92a7""\,""label"":""Autoweg en villa' s op Tjandi\, Semarang""\,""date"":1931}\,{""role"":""has subject""\,""pid"":""uuid:eebc4c3f-f46e-42e6-9b0e-f89b47334864""\,""label"":""Nieuwe huizen te Semarang""\,""date"":""1900-1940""}]\,""Person"":{""role"":""architect of""\,""pid"":""po:177""\,""label"":""Karsten\, Th.""}}}",Semarang,bt:346,Semarang,,bt:346,Stedenbouwkundig plan Semarang,collection:koloniaal_erfgoed,,1754757787807645696,"Uitbreidingsplan,Stadsplan,Stedenbouwkundig plan Semarang,Karsten\, Th.,Karsten\, Herman Thomas,Karsten\, Thomas",2014-06-12T08:50:53.514Z,,
